Alfreð Finnbogason,ST,30
André Hahn,AM RL,28
Andreas Luthe,GK,32
Carlos Gruezo,DM,24
Daniel Baier,DM,35
Eduard Löwen,D C* DM,22
Fabian Giefer,GK,29
Felix Götze,D RC* DM,21
Felix Uduokhai,D LC,21
Florian Niederlechner,ST,28
Fredrik Jensen,AM C,21
Georg Teigl,D/WB/AM R,28
Iago,D/WB L,22
Jan Moravek,DM* AM C,29
Jeffrey Gouweleeuw,D C,27
Julian Schieber,AM L* ST,30
Kilian Jakob,D/WB/AM L,21
Marco Richter,AM RL* ST,21
Marek Suchy,D C,31
Noah-Joel Sarenren-Bazee,AM RL,22
Philipp Max,D/WB/AM L,25
Rani Khedira,D C* DM,25
Raphael Framberger,D/WB R,23
Reece Oxford,D C* DM,20
Ruben Vargas,AM RL,20
Sergio Córdova,AM R* ST,21
Simon Asta,D/WB R,18
Stephan Lichtsteiner,D/WB R,35
Tin Jedvaj,D RC,23
Tomas Koubek,GK,26
Abdul Fesenmeyer,ST,17
Achunike Ekene,D/WB RL,16
Adrian Stanilewicz,DM,19
Aleksandar Dragovic,D C,28
Ayman Azhil,DM,18
Ayoub Asrihi,AM RL,18
Cem Türkmen,DM* AM C,17
Charles Aránguiz,DM,30
Christopher Scott,AM C,17
Daley Sinkgraven,D/WB L* M C,23
Edmond Tapsoba,D C,20
Exequiel Palacios,DM,20
Fabian Rüth,D C,17
Florian Wirtz,AM C,16
Hans-Alexandre Anapak-Baka,AM RLC,18
Jonathan Tah,D C,23
Julian Baumgartlinger,DM,31
Kai Havertz,AM C,20
Karim Bellarabi,AM RL,29
Kerem Demirbay,AM C,25
Kevin Bukusu,D C,18
Kevin Volland,AM R* ST,26
Lars Bender,D R* DM,30
Leon Bailey,AM RL,21
Leon Gädicke,D R,17
Lucas Alario,ST,26
Lukás Hradecký,GK,29
Marc Lamti,D C,18
Marcel Johnen,GK,17
Marcel Lotka,GK,18
Marco Wolf,AM RC,18
Marvin Alexa,D C,16
Mitchell Weiser,D/WB/AM R,25
Moussa Diaby,AM RL,19
Nadiem Amiri,AM RLC,22
Niklas Lomb,GK,25
Paulinho,AM RL,18
Phil Kemper,D LC* DM,17
Ramazan Özcan,GK,35
Sven Bender,D C* DM,30
Wendell,D LC,25
Achraf Hakimi,D/WB RL,20
Axel Witsel,DM,30
Dan-Axel Zagadou,D C,20
Emre Can,D C* DM,25
Erling Haaland,ST,18
Giovanni Reyna,AM LC,16
Jadon Sancho,AM RL,19
Julian Brandt,AM RLC,23
Leonardo Balerdi,D C,20
Lukasz Piszczek,D/WB R,34
Mahmoud Dahoud,DM,23
Manuel Akanji,D C,23
Manuel Pherai,AM C,18
Marcel Schmelzer,D/WB L,31
Marco Reus,AM RLC,30
Mario Götze,AM/F C,27
Marwin Hitz,GK,31
Mateu Morey,D/WB R,19
Mats Hummels,D C,30
Nico Schulz,D/WB/AM L,26
Raphaël Guerreiro,D/WB L* AM LC,25
Roman Bürki,GK,28
