Abner Vinicius,D/WB L,19
Adriano,D/WB RL,34
Anderson,GK,21
Bento,GK,20
Bissoli,AM/F C,21
Braga,D/WB R,16
Brener,AM RLC,19
Breno Lopes,AM C,23
Bruno Leite,AM/F C,19
Carlos Eduardo,AM RL* ST,22
Christian Alves,DM,18
Danilo Boza,D RC,21
David Samuel,D C,16
Denner,AM RC,19
Elias,AM RL* ST,19
Erick,AM C,21
Fernando Canesin,AM RC* F C,27
Gabriel,GK,20
Gabriel Fornari,D C,18
Gabriel Morais,ST,17
Guilherme Rink,AM RLC* F C,18
Iago,AM RLC* F C,17
Jader,ST,15
Jaderson,ST,18
Jajá,ST,18
Jandrei,GK,26
Jhonny Lira,D/WB R,16
João Gabriel,D C,16
João Pagoto,AM C,18
João Pedro,DM,17
John Mercado,AM C,17
Jonathan,D/WB/M R,33
Josué Cuero,D/WB R,18
Juan Makil,AM C,16
Juliano,GK,21
Julimar,ST,18
Kauã,D C,16
Kawan,DM,17
Kelvin Antony,AM RLC* F C,16
Khellven,D/WB R,18
Kleiton,ST,20
Léo Cittadini,DM* AM C,25
Léo Gomes,DM,22
Léo Simas,D/WB R,20
Léo Vieira,GK,28
Leonardo Costa,AM RLC* F C,16
Leonardo Linck,GK,18
Luan Patrick,D C,17
Luca Caio,D L,18
Lucas Guido,AM C,17
Lucas Halter,D C,19
Lucho González,AM C,38
Luiz Fernando,AM L* ST,19
Luiz Silvestre,DM,16
Marcio Azevedo,D/WB L,33
Marquinhos Gabriel,AM RL,28
Matheus Anjos,AM C,20
Nikão,AM RLC* F C,26
Orlando,GK,16
Pedrão,D RC,22
Pedrinho,AM RL,19
Pedro do Rio,DM,18
Raimar,AM C,17
Reginaldo,D C,17
Reinaldo,AM RC* F C,18
Renan Soares,AM RLC* F C,18
Róbson Bambu,D C,21
Ruan Librelato,AM C,16
Santos,GK,29
Thiago Heleno,D C,30
Thiago Souza,AM L* ST,20
Tiago Gomes,GK,16
Victor Cruz,M RC,18
Vinícius,ST,19
Vinicius Kaue,AM RLC* F C,16
Vinicius Pertile,AM C,16
Vitinho,AM RLC* F C,20
Walber,D C,22
Welligton Rocha,D C,18
Wellington,DM,28
Wesley,D C* DM,19
Zé Ivaldo,D C,22
Caio Vinícius,DM,20
Chocolate,AM C,19
Cristhyan,AM RL* ST,19
Danilo Alves,D C,17
Dudu,D/WB/M R,22
Éder Ferreira,D C* DM,24
Edson,DM,28
Edson Júnior,ST,24
