Agustín Nadruz,DM,23
Alejandro Mitrano,D L,21
Carlos Valdéz,D C,36
Diego Gurri,WB L* M RL,26
Diego Romero,ST,19
Emiliano Álvarez,D C,23
Enzo Larrosa,AM LC,18
Ezequiel Barate,DM,18
Facundo Queiroz,D C,21
Fernando Maldonado,AM R* ST,27
Gonzalo Falcón,GK,22
Guillermo Fratta,D C,23
José Alberti,DM* AM R,22
Kevin De Los Santos,GK,17
Leandro Lozano,D/WB R* DM* M R,20
Lisandro Pérez,AM LC* F C,19
Luciano Olaizola,AM L,17
Marcelo Tapia,AM C,26
Matías Rigoleto,ST,24
Mauricio Fratta,GK,21
Nicolás Barán,D RC,29
Nicolás Freitas,DM,32
Pablo Álvarez,D/WB R,34
Pedro Silva Torrejón,D/M L,22
Petróleo,D C,25
Robert Flores,AM C,33
Rodrigo Gómez,ST,24
Rubén Bentancourt,ST,26
Santiago Arias,DM,24
Santiago Silva,GK,20
Sebastián Abreu,ST,42
Tihago Prosper,D L,18
Uri Amaral,ST,21
Wiston Fernández,DM,21
Adriano Freitas,GK,22
Agustín Francia,D/WB/M L,20
Agustín Hernández,D C,22
Agustín Requena,GK,20
Alexander Machado,AM RL,17
Ayrton Costa,AM C,20
Brahyan Pinheiro,D L,24
Bryan Bentaberry,D C,22
Cristian Cruz,M RC,21
Diego Duque,D C,21
Emiliano Sosa,DM,21
Emiliano Villar,ST,19
Facundo Moreira,D C* DM,30
Federico Andrade,ST,18
Felipe Klein,DM* M RC,32
Franco López,AM RL* ST,26
Gastón Filgueira,D L,33
Gastón Paiva,AM RLC,25
Gonzalo Pintos,ST,21
Ignacio Yepez,AM R* ST,20
Joaquín Boghossian,ST,32
José Luis Tancredi,AM C,36
Kevin Moreira,D L,21
Maicol Cabrera,ST,23
Mario García,DM,19
Martín González,D C,24
Mathías Silvera,D L,20
Nahuel Bardesio,M L,22
Nahuel Furtado,D R,21
Nahuel Santana,M RC,22
Nicolás Ramos,D C,20
Pablo Lacoste,D C,31
Richard Pellejero,DM,43
Rodrigo Formento,GK,19
Rodrigo Izquierdo,D R,26
Ronald Álvarez,AM R,21
Adrián Sánchez,DM* M RLC,20
Agustín Heredia,D C,22
Ángel Cayetano,D C* DM,28
Axel Müller,D/AM L,22
Borys Barone,AM R* ST,25
Brian Ferrarés,D C,19
Clever Quintana,ST,21
Emilio MacEachen,D C,27
Enrique Etcheverry,D/WB RL* DM,23
Enzo Borges,ST,32
Gonzalo Lamardo,AM LC,22
Gonzalo Latorre,ST,23
Guillermo May,AM L* ST,21
Hamilton Pereira,DM,32
Hugo Dorrego,M RC,26
Hugo Magallanes,D C,21
Joaquín Silva,GK,21
Jonathan Jorge,DM,20
Juan Manuel Lladó,GK,23
Luis Miguel Rodríguez,AM RL,20
Matías Tavares,ST,22
Mauricio Gómez,D/WB R,27
Mauro Brasil,D LC,20
Mikael Sosa,M LC,20
Nicolás Leites,AM RL,21
Nicolás Suárez,DM* AM C,22
Ramiro Bentancur,GK,30
Richard Dorrego,M RC,24
Robinson Ferreira,D LC,27
Santiago Merlo,D L,20
Sergio Montero,D R,21
Thiago Nascente,ST,17
Tomás Fernández,AM RL* ST,21
Washington Aguerre,GK,26
Briam Acosta,AM R* ST,21
Carlos Grossmüller,DM* AM C,36
Carlos Zapirain,ST,16
Darío Denis,GK,27
Diego Bustos,DM* M R,18
Diego Ifrán,ST,32
Diego Martiñones,ST,34
Emiliano Ancheta,D RL,20
Emiliano Bermúdez,GK,22
Enzo Siri,D C,17
Enzo Suárez,D R,18
Facundo Labandeira,AM R* ST,23
Facundo Silva,GK,22
Facundo Silvera,AM L,17
Francisco Lapaz,GK,19
Franco Macchi,D C* DM,18
Fredy Martínez,D L,18
Gonzalo Montes,DM* AM C,24
José Luis Rodríguez,D R,22
Juan Manuel Gutiérrez,ST,17
Julio Domínguez,D C,27
Lautaro Aguete,D L,19
Leandro Onetto,AM L* ST,22
Luca Giossa,GK,19
Lucas Benítez,M C,16
Lucas Monzón,D C,17
Lucas Rodríguez,AM RLC,26
Luciano Nequecaur,ST,26
Maicol Ferreira,AM C,21
Martín Amuz,D C,22
Matías Berni,D C,18
Matías Deorta,ST,19
Matías Jones,D/WB/AM L,28
Mauricio Victorino,D C,36
Mauro Mareco,AM L* ST,20
Maximiliano Rodríguez,DM* M RL,20
Nicolás Pantaleone,D/WB L,26
Nicolás Prieto,DM* M RC,26
Nicolás Vomero,D C,17
Pablo Fernández,ST,18
Pablo Siles,DM,21
Patricio Gregorio,DM,20
Rafael Haller,D/WB R,18
Rodrigo Piñeiro,AM R* ST,20
Santiago Álvez,AM C,16
Santiago Mederos,AM LC,21
Santiago Paiva,ST,20
Walter Corrales,AM C,19
Yeferson Quintana,D C,23
Adolfo Lima,AM LC,28
Alan Rodríguez,AM R,19
Alan Saldivia,D C,17
Alejandro González,D RC,31
Álvaro González,DM* M RC,34
Álvaro Navarro,ST,34
Anthony Cutti,AM L* ST,18
Axel Barreto,D C,17
Bernardo Long,GK,29
Bruno Vera,D C,16
Cristian Barros,AM R* ST,19
Diego Abreu,ST,15
Diego Castrillo,ST,16
Diego Coelho,ST,24
Emilio Zeballos,D RC,26
Facundo Bello,D C,16
Facundo Milán,ST,18
Gastón Álvarez,D LC* DM,19
Gastón Bartora,D LC,17
Gonzalo Nápoli,DM* AM LC,19
Ignacio Colombini,ST,27
Ignacio Laquintana,AM R,20
Ignacio Ojeda,DM,20
Isaac Méndez,DM,18
Joaquín Castro,AM R* ST,19
Jonathan González,D C,19
Juan Albín,AM LC* F C,32
Juan Manuel Figueroa,D R,19
Kevin Méndez,AM LC* F C,23
Lucas Martínez,AM/F C,20
Lucas Morales,D R,19
Lucas Rodríguez,D LC,20
Luciano Boggio,AM C,20
Marco Mancebo,D C,18
Mathías Cardacio,DM* M RC,31
Matías Castro,GK,31
Matías Dufour,GK,20
Matías Ocampo,AM RLC,17
Matías Rocha,D C,18
Mauro García,D L,19
Maximiliano Juambeltz,AM/F C,17
Pablo López,ST,22
Ramiro Méndez,GK,18
Renzo Rabino,D L,21
Rodrigo Marín,AM L,18
Rodrigo Rojo,D/WB L,29
Samuel Rodríguez,D C,19
Santiago Mernies,GK,17
Vicente Poggi,DM,16
Agustín Sant'Anna,D RL,21
Álex De Freitas,D/WB L,20
Alexander González,ST,16
Andrés Ravecca,D/WB R* M RL,30
Bruno Serrón,D C,18
César Pereyra,AM R* ST,37
Charles Zoryez,D C,31
Danilo Lerda,GK,32
Diego Casas,ST,24
Eduardo Darias,AM R,21
Facundo Batista,AM RC* F C,20
Facundo Rodríguez,WB/M L,25
Facundo Tealde,D LC,30
Federico Castellanos,AM RL* ST,26
Federico Ramos,AM RC* F C,27
Federico Tellechea,AM L,18
Gastón Díaz,DM,23
Gastón Pagano,D C,30
Hernán Toledo,AM RL,23
José Hernández,GK,28
Lucas Fernández,ST,17
Lucas Núñez,DM,18
Luciano Aberasteguy,AM R* ST,16
Luciano Rodríguez,M C,18
Luis Machado,ST,27
Mariano Bogliacino,AM LC,39
Matías Tellechea,AM R* ST,26
Maximiliano Cantera,AM/F C,26
Rodrigo Ciosek,D C,20
Rodrigo Muniz,ST,17
Rodrigo Tabárez,AM/F C,18
Santiago Carrera,D C,25
Santiago Nagüel,AM RC,26
Santiago Rosas,DM,21
Sebastián González,DM,19
Valentín Fernández,GK,21
Adrián Argachá,D/WB L,32
Agustín Alfaro,AM L,20
Agustín Canobbio,AM RL,20
Álvaro Fernández,ST,21
Andrés Barboza,D C* DM,24
Andrés Schetino,DM* M RC,25
Ángel Rodríguez,DM,26
Bruno Páez,DM,20
Bruno Scorza,ST,18
Bryan Olivera,AM LC,25
Camilo Núñez,DM* M RC,25
Carlos Fernández,ST,27
Christian Silva,AM/F C,25
Cristian Sellanes,AM L* ST,19
Emanuel Carlos,D R* DM,20
Emiliano Mozzone,ST,21
Ernesto Hernández,GK,33
Fernando Souza,D C,21
Francisco Casanova,GK,22
Hernán Ugarte,DM,19
Ignacio Pallas,D C,36
Ignacio Pereira,AM L* ST,21
Jeremías Young,GK,21
Jonathan Toledo,D RC,23
Jorge Trinidad,ST,26
Juan Álvez,D RC,35
Julio Recoba,AM R,22
Kevin Alaniz,AM R* ST,16
Léo Coelho,D C* DM,26
Manuel Ugarte,DM,18
Mateo Sena,AM R,19
Maureen Franco,ST,35
Néstor Álvarez,DM,20
Nicolás Fernández,D R* DM* M R,21
Nicolás Machado,ST,22
Nicolás Ruiz,ST,20
Raúl Ferro,DM,36
Richard Núñez,DM,21
Ronaldo,D C,32
Sebastián Paz,AM C,21
Agustín Dávila,AM RL* ST,20
Agustín Ocampo,AM LC,21
Alan Medina,AM R* ST,21
Álex Vázquez,DM* M LC,17
Álvaro Gracés,D C,18
Andrés Mehring,GK,25
Bruno Correa,AM RL* ST,27
Camilo Cándido,D/WB/M L,24
Cristian Antúnez,ST,20
Elías Salazar,M C,17
Emiliano Alfaro,ST,31
Ernesto Goñi,D LC,34
Ezequiel Escobar,AM R* ST,20
Fabricio Díaz,DM,16
Federico Pereira,D RC,19
Franco Posse,ST,18
Franco Romero,D RC,24
Gastón Martirena,D R,19
Gastón Medina,DM,18
Gastón Pérez,DM,19
Gonzalo Pérez,D C,18
Guillermo Firpo,DM* M RC,30
Gustavo Viera,ST,18
Hernán Figueredo,DM* AM C,34
Ignacio Ramírez,ST,22
Ismael Jara,ST,19
Iván Bonifazi,GK,17
Jean Pierre Rosso,D RL,22
Joel Acosta,AM RL* ST,28
Lucas Cabrera,D L,19
Lucas Lemos,D C,19
Marcos Machado,ST,18
Martín Fernández,DM,18
Martín Rivas,D L,27
Mateo Abeijón,ST,19
Maximiliano Pereira,D LC,25
Nicolás Acevedo,DM,20
Rodrigo Fernández,GK,16
Rodrigo Ferreyra,ST,18
Santiago Amorín,GK,24
Sebastián Lentinelly,GK,21
Adrián Vila,M RC,17
Agustín Chopitea,D R,20
Agustín González,DM* AM C,22
Agustín Oliveros,D/WB L,20
Agustín Tejera,AM RL* ST,17
Alfonso Trezza,AM R* ST,20
Andrés Copete,D C,18
Armando Méndez,D R* M RL,23
Axel Pérez,ST,17
Ayrton Cougo,D/WB/M L,23
Brian Ocampo,AM R* ST,20
Claudio Yacob,DM,31
Cristian Duma,ST,23
Emiliano Martínez,DM,19
Felipe Cairus,AM C,19
Felipe Carballo,DM,22
Franco Fagúndez,ST,18
Gabriel Neves,DM,21
Gonzalo Bergessio,ST,34
Gonzalo Castro,AM LC* F C,34
Guillermo Centurión,GK,17
Guzmán Corujo,D C,22
Ignacio Suárez,GK,17
Ignacio Velázquez,D L,16
Joaquín Sosa,D C,17
Joaquín Trasante,DM,20
Lautaro Pertusatti,D R,18
Leandro Añasco,D L,18
Lucas Sanseviero,AM RL,18
Luis Mejía,GK,28
Manuel Monzeglio,AM C,17
Mathías Bernatene,GK,18
Mathías Laborda,D C,19
Mathías Suárez,D/WB RL,23
Matías Alfonso,DM,19
Miguel Jacquet,D C,24
Nahuel Herrero,D R,18
Nicolás Marichal,D C,18
Pablo Barrientos,AM RLC,34
Pablo García,AM RL,20
Renzo Orihuela,D C,18
Rodrigo Amaral,AM RC* F C,22
Santiago Cartagena,DM,16
Santiago Pereira,D LC,17
Santiago Ramírez,ST,17
Santiago Rodríguez,AM C,19
Sebastián Fernández,AM RL* ST,34
Sergio Rochet,GK,26
Thiago Vecino,ST,20
Agustín Álvarez,ST,18
Agustín Álvarez,DM,18
Agustín Da Silveira,D C,18
Ángel Cardozo,ST,20
Axel Fernández,AM/F C,17
Braulio Guisolfo,DM,17
Changa Bass,AM RL* ST,20
Christian Bravo,AM RL,25
Cristian Rodríguez,AM LC,33
David Terans,AM LC* F C,24
Dennis Olivera,AM RC,19
Diego Méndez,DM,16
Enzo Lemos,AM L* ST,18
Enzo Martínez,D LC,21
Erik de los Santos,DM* M R,20
Ezequiel Busquets,D R,18
Ezequiel Mechoso,AM C,19
Fabián Estoyanoff,AM R* ST,36
Fabricio Formiliano,D C,26
Facundo Pellistri,AM R* ST,17
Facundo Torres,AM LC* F C,19
Federico Tubin,D R,20
Gabriel Rojas,D/WB L,22
Gary Kagelmacher,D RC,31
Giovanni González,D/WB RL,24
Guzmán Pereira,DM,28
Jesús Trindade,D/WB RL* DM* M R,25
Joaquín Machado,D C,19
Joaquín Piquerez,AM L,20
Jonathan Lima,GK,20
Jonathan Urretaviscaya,AM RL* ST,29
Juan Acosta,D R,25
Kevin Dawson,GK,27
Kevin Lewis,DM,20
