Adrien Tameze,DM,25
Aimone Calì,AM R* ST,22
Alassane Sidibé,ST,17
Alejandro Gómez,AM LC* F C,31
Alessandro Cortinovis,AM LC,18
Alessandro Falleni,ST,16
Alessandro Roma,M RC,17
Alessio Rosa,ST,16
Amad Traoré,AM RL* ST,16
Amer Mehic,M C,16
Andrea Ceresoli,D LC,16
Andrea Mallamo,DM* M RC,16
Andrea Olivieri,AM C,16
Andrea Testa,D L,16
Andrea Viviani,DM,17
Angelo Pisoni,GK,17
Antonio Reda,ST,16
Berat Djimsiti,D RLC,26
Bosko Sutalo,D RLC,19
Caleb Okoli,D C,17
Christophe Renault,D L,17
David Heidenreich,D C,19
Davide Ghislandi,AM RL,18
Dino Mehic,M C,16
Duván Zapata,ST,28
Ebrima Colley,AM LC* F C,19
Edoardo Scanagatta,D RC,17
Emanuele Marcaletti,D C,17
Emmanuel Gyabuaa,DM,17
Federico Bergonzi,D/WB R,18
Federico Gennari,M RC,17
Federico Moraschi,D C,15
Federico Pagani,ST,16
Federico Polloni,ST,16
Federico Zuccon,D C* AM C,16
Filippo Grassi,D L,16
Francesco Rossi,GK,28
Gabriele Berto,DM,16
Giorgio Brogni,D/WB L,18
Giorgio Cittadini,D RC,17
Giorgio Scalvini,D C,16
Giovanni Bonfanti,D L,16
Giuseppe Carrà,ST,17
Guillaume Renault,D/WB R,17
Hans Hateboer,D/WB/M R,25
Ibrahima Faye,AM/F C,17
Jacopo Da Riva,AM LC,18
Jacopo Sassi,GK,15
Jonathan Ngock Italeng,ST,17
José Luis Palomino,D C,29
Josip Ilicic,AM RC* F C,31
Khadim Ndiaye,GK,19
Kristian Dervishi,ST,16
Lennart Czyborra,D/WB L,20
Leonardo Manfredi,AM RL* ST,16
Liam Perego,M C,16
Lorenzo Nozza Bielli,GK,17
Ludovico Gelmi,GK,18
Luis Muriel,ST,28
Lukas Vorlicky,AM C,17
Marco Dalessandro,M RC,17
Marco Sportiello,GK,27
Mario Pasalic,AM C,24
Marten de Roon,DM,28
Matevz Dajcar,D C,17
Matteo Ruggeri,D C,16
