Alhassane Keita,ST,27
Álvaro Ramalho,GK,20
André Moreira,GK,23
André Santos,DM,30
António Montez,M C,17
Cafú Phete,D C* DM,25
César Sousa,AM C,19
Chahreddine Boukholda,AM C,23
Chico,AM RC,21
Chima Akas,D LC,25
Danny Henriques,D C* DM,21
Dieguinho,AM RLC* F C,27
Diogo Calila,D/WB R,20
Diogo Pereira,M C,18
Edgar Pacheco,AM L* ST,19
Edi Semedo,AM RL* ST,20
Elvis Landim,D/WB R,19
Filipe Mendes,GK,34
Francisco Guimarães,GK,17
Francisco Varela,D/WB L,24
Gonçalo Agrelos,AM RL,21
Gonçalo Silva,D C,28
Guilherme Santos,D LC,16
Hakim Ouro-Sama,D C,21
Hervé Koffi,GK,22
Ivan Dias,D RC,24
Jeremias Nhambirre,D R,19
João Monteiro,GK,18
Jorge Xavier,D/WB R,18
Kau,D LC* DM,20
Kenedy Santos,ST,18
Licá,AM RL* ST,30
Luca Van der Gaag,D C,17
Lucas Oliveira,ST,17
Luís Silva,D C,20
Marco Matias,AM RL,30
Mateo Cassierra,AM L* ST,22
Nilton Varela,D/WB L,18
Nuno Coelho,D C* DM,31
Ricardo Ferreira,D C,26
Ricardo van der Laan,GK,16
Robinho,AM RLC,21
Rúben Lima,D/WB L,29
Rúben Ribeiro,D/WB/M L,23
Show,DM,20
Silvestre Varela,AM RL,34
Sphephelo Sithole,DM,20
Tiago Esgaio,D R* DM,23
Tomás Castro,AM LC,20
Tomás Ribeiro,D C* DM,20
Alberto Bueno,AM/F C,31
Alexandre Moutinho,D/WB L* AM LC,17
Breno Teixeira,D/WB L,19
Carraça,D/WB R* DM,26
Cassiano,AM L* ST,30
Fabiano,D RC,27
Fernando Cardozo,ST,18
Francisco Pereira,DM,17
Gonçalo Rocha,ST,18
Gustavo Dulanto,D C* DM,24
Gustavo Sauer,AM RLC,26
Helton Leite,GK,28
Heriberto Tavares,AM RL,22
Idris,DM,34
Ivo Mesquita,D C,16
João Gonçalves,GK,18
João Sousa,AM RL,18
José Esteves,DM,18
Leonardo Silva,ST,17
Lucas Tagliapietra,D C,28
Luís Santos,AM RL,19
Marlon,D/WB L,22
Mateus,AM RL* ST,35
Miguel Reisinho,M C,20
Néris,D C* DM,27
Nikola Stojiljkovic,AM R* ST,26
Nwankwo Obiora,DM,27
Paulinho,AM RL,22
Pedro Malheiro,AM RL,18
Rafael Bracali,GK,38
Ricardo Costa,D C,38
Tomás Reymão,AM RC,20
Yaw Ackah,DM,20
Yusupha Njie,AM LC* F C,25
Aires Sousa,AM L,20
Alex Ferreira,GK,20
Amir Abedzadeh,GK,26
André Cardoso,AM/F C,18
Bebeto,D/WB R,29
Carlos Tovar,D/WB L,20
Charles,GK,25
Chico Banza,ST,20
China PR,D/WB/AM L,26
Daizen Maeda,AM/F C,21
Dejan Kerkez,D RC,23
Diego Moreno,DM* M RC,23
Douglas Grolli,D C,30
Edgar Costa,AM RL,32
Edgar Mendonça,GK,22
Erivaldo,AM RL,25
Fábio Faria,D R* AM RL,19
Franck Bambock,DM,24
Getterson,AM R* ST,28
Gonçalo Duarte,D/WB R,21
Jake Gonçalves,D/WB L,24
Jhon Cley,AM RLC* F C,25
João Silva,GK,17
Joel,AM R* ST,25
Johnson Owusu,AM RL* ST,21
Jorge Correa,AM RLC,26
Jorge Guerreiro,AM L,20
José Marcelo,ST,20
Josip Vukovic,DM,27
Joyce Anacoura,GK,24
Juan Mosquera,DM* M RC,23
Leandro Cardoso,ST,20
Lynconl,DM,22
Magrão,D C,21
Mamadou Traoré,D C* DM,24
Manuel Caneira,ST,19
Michael Morais,AM RL* ST,21
Miguel Gouveia,DM,20
Nanu,D/WB/M R,25
Nuno Correia,DM,20
Pedro Pelágio,DM,19
Renê Santos,D C* DM,27
Rodrigo Andrade,AM RL,17
Rodrigo Pinho,ST,28
Rúben Ferreira,D/WB L,29
Rúben Sousa,D C,18
Simão Sousa,M C,18
Umaro Baldé,AM RL,20
Vilson Caleir,AM C,20
Xadas,AM RC,21
Zainadine Júnior,D RC,31
Aaron Tshibola,M C,24
