Abdoulaye Touré,AM RLC* F C,18
Abiezer Jeno,D C* DM,19
Adrien Kack,D C,17
Alexis Blin,DM,22
Alexis Dos Santos,DM,17
Alexis Drouart,D C,20
Allan Minin,M C,18
Alpha Barry,ST,19
Arturo Calabresi,D RC,23
Aurélien Chedjou,D C* DM,34
Axel Van Assche,GK,17
Ayoub Sefraoui,AM L,19
Bakaye Dibassy,D LC,29
Bongani Zungu,DM,26
Boris Essele,GK,18
Boris Essele,GK,19
Chadrac Akolo,AM RL,24
Charbel Gomez,AM RL,18
Christophe Jallet,D/WB RL,35
Darell Tokpa,ST,18
Djibril Konte,AM RL,16
Driss Khalid,AM LC,20
Enzo Hérault,DM,17
Enzo Lopes,M C,17
Félix Nzouango Bikien,D LC,16
Florian Bianchini,AM RL,18
Florian Boulet,AM R* ST,17
Fousséni Diabaté,AM RL* ST,23
Gaël Kakuta,AM RLC,28
Grégoire Coudert,GK,20
Grégory Varin,GK,19
Haitam Aleesami,D/WB/M L,27
Ibrahima Keita,AM RL,17
Ibrahima Thiam,ST,18
Illa Sy,D C,16
Isaac Mbenza,AM L* ST,23
Ismael Hmani,AM R,19
Jean-Claude Ngando,AM RLC,19
Jean-Marc Tiboué,D/WB L* DM,19
Joackim Betina,D R,17
Jonathan Bumbu,D R* M C,20
Juan Otero,AM R* ST,24
Loïc Badiashile,GK,21
Luca Florica,D L,16
Madih Talal,AM C,21
Mathieu Bodmer,DM* AM C,36
Mathis Colin,ST,17
Mathis Lachuer,DM,18
Mattéo Xantippe,D LC,17
Matthieu Dreyer,GK,30
Matthieu Rongier,GK,17
Maxime Coupelle,D C* DM,18
Mehdi Dorval,D RL,17
Mohammed Ayman Ouhatti,DM,18
Moussa Konaté,AM R* ST,26
Nael Arzalai,M LC,17
Nathan Monzango,D C,18
Nicholas Opoku,D C,21
Owen Gene,DM,17
Paul Joly,D C* DM,19
Prince-Désir Gouano,D C,25
Quentin Cornette,AM RLC,25
Rafael Fonseca,D/WB/M R,18
Régis Gurtner,GK,32
Saman Ghoddos,AM RLC* F C,25
Sanasi Sy,D L,20
Serhou Guirassy,AM L* ST,23
Stiven Mendoza,AM RL* ST,27
Thadèe Kaleba,D RC,20
Thomas Monconduit,DM,28
Ulrick Enémé Ella,AM/F C,18
Umit Demirel,DM,20
Valentin Gendrey,D R,19
