Adrián Marín,D/WB L,22
Aleix Vidal,D/WB R* AM RL,29
Burgui,AM LC,25
Édgar Méndez,AM RLC,29
Fernando Pacheco,GK,27
Ismael Gutiérrez,DM,18
Jeando Fuchs,D R* DM,21
Joselu,ST,29
Lisandro Magallán,D C,25
Ljubomir Fejsa,DM,30
Lucas,AM RLC* F C,30
Luis Rioja,AM RL,25
Manu García,D/WB L* DM* AM LC,33
Martín Aguirregabiría,D/WB R,22
Oliver Burke,AM RL,22
Pere Pons,DM,26
Rafa Navarro,D R,25
Roberto,GK,33
Rodrigo Ely,D C,25
Rubén Duarte,D LC,23
Tomás Pina,DM,31
Víctor Camarasa,DM* AM C,25
Víctor Laguardia,D C,29
Ximo Navarro,D RC,29
Ander Capa,D/WB/AM R,27
Aritz Aduriz,ST,38
Asier Villalibre,ST,21
Beñat,AM C,32
Dani García,DM,29
Gaizka Larrazabal,AM R,21
Iago Herrerín,GK,31
Ibai Gómez,AM RL,29
Iker Muniain,AM LC,26
Iñaki Williams,AM RLC* F C,25
Iñigo Córdoba,AM L* ST,22
Iñigo Lekue,D/WB RL* AM R,26
Iñigo Martínez,D C,28
Kenan Kodro,ST,25
Mikel Balenziaga,D/WB/AM L,31
Mikel San José,D C* DM,30
Mikel Vesga,DM,26
Óscar De Marcos,D/WB/AM R,30
Raúl García,AM C,32
Unai López,AM RC,23
Unai Núñez,D RC,22
Unai Simón,GK,22
Yeray,D C,24
Yuri,D/WB L,29
Álvaro Morata,ST,26
Ángel Correa,AM RLC* F C,24
Antonio Adán,GK,32
Diego Costa,ST,30
Felipe,D C,30
Héctor Herrera,M C,29
Ivan Saponjic,ST,21
Jan Oblak,GK,26
João Félix,AM RLC* F C,19
José Giménez,D C,24
Kieran Trippier,D/WB R,28
Koke,M RLC,27
Marcos Llorente,DM,24
Mario Hermoso,D LC,24
Renan Lodi,D/WB/M L,21
Santiago Arias,D/WB R,27
Saúl,DM* M RC,24
Sime Vrsaljko,D/WB/M R,27
Stefan Savic,D C,28
Thomas Lemar,AM RLC,23
Thomas Partey,DM,26
Vitolo,AM RLC,29
Yannick Carrasco,AM RL,25
Antoine Griezmann,AM RLC* F C,28
Arda Turan,AM RLC,32
Arthur,DM* AM C,22
Arturo Vidal,DM,32
Clément Lenglet,D C,24
Frenkie de Jong,D C* DM,22
Gerard Piqué,D C,32
Ivan Rakitic,DM* AM C,31
Jordi Alba,D/WB/AM L,30
Júnior Firpo,D/WB L,22
Lionel Messi,AM RC* F C,32
Luis Suárez,AM RLC* F C,32
Marc-André ter Stegen,GK,27
Martin Braithwaite,AM RLC* F C,28
Nélson Semedo,D/WB R,25
Neto,GK,29
Ousmane Dembélé,AM RL,22
Samuel Umtiti,D C,25
Sergi Roberto,D/WB R* DM* M RC,27
Sergio Busquets,DM,30
Aïssa Mandi,D RLC,27
Àlex Moreno,D/WB/AM L,26
Alfonso Pedraza,D/WB/AM L,23
Andrés Guardado,WB L* DM* AM LC,32
Antonio Barragán,D/WB R,32
Borja Iglesias,AM R* ST,26
Carles Aleñá,AM C,21
Cristian Tello,AM RL,27
Dani Martín,GK,20
Diego Laínez,AM RL,19
Emerson,D/WB R,20
Francis,D/WB R,23
Guido Rodríguez,DM,25
Javi García,D C* DM,32
Joaquín,AM RC,37
Joel Robles,GK,29
Juanmi,AM L* ST,26
Loren,ST,25
Marc Bartra,D C* DM,28
Nabil Fekir,AM RLC* F C,25
Sergio Canales,AM C,28
Sídnei,D C,29
William Carvalho,DM,27
Zouhair Feddal,D C,30
Brais Méndez,AM RC,22
David Juncà,D/WB/AM L,25
Denis Suárez,AM LC,25
Fedor Smolov,ST,29
Filip Bradaric,DM,27
Fran Beltrán,DM,20
Gabriel Fernández,ST,25
Hugo Mallo,D RC,28
Iago Aspas,AM RC* F C,31
Iván Villar,GK,21
Jeison Murillo,D C,27
Jorge Sáenz,D C,22
Joseph Aidoo,D C,23
Juan Hernández,AM R* ST,24
Kevin,D/WB R,26
Lucas Olaza,D/WB L,24
Néstor Araujo,D C,27
Okay Yokuslu,DM,25
Pape Cheikh Diop,DM,21
Pione Sisto,AM RL,24
Rafinha,AM RC,26
Rubén Blanco,GK,23
Santi Mina,ST,23
Sergio Álvarez,GK,32
Álvaro Tejero,D/WB RL,22
Anaitz Arbilla,D RLC* AM C,32
Charles,ST,35
Edu Expósito,M C,22
Esteban Burgos,D C,27
Fabián Orellana,AM RLC,33
Gonzalo Escalante,DM,26
Iván Ramis,D C,34
José Ángel,D/WB L,29
Kike,ST,29
Marko Dmitrovic,GK,27
Mikel Gorroño,D C,18
Pablo De Blasis,AM RLC,31
Pape Diop,DM,33
Paulo Oliveira,D C,27
Pedro Bigas,D LC* DM,29
Pedro León,AM R,32
Quique,AM RLC* F C,29
Rafa Soares,D/WB/M L,24
Roberto Correa,D/WB R,26
Sebastián Cristóforo,DM,25
Sergi Enrich,AM/F C,29
Sergio Álvarez,DM,27
Takashi Inui,AM LC,31
Yoel,GK,30
Adrià Pedrosa,D/WB L,21
Adrián Embarba,AM R,27
Ander Iturraspe,DM,30
Andrés Prieto,GK,25
Bernardo,D C,29
David López,D C* DM,29
Dídac Vilà,D/WB L,30
Diego López,GK,37
Facundo Ferreyra,ST,28
Fernando Calero,D C,23
Javi López,D/WB R* M RC,33
Jonathan Calleri,ST,25
Leandro Cabrera,D LC,28
Marc Roca,DM,22
