Adrián Vera,GK,18
Agustín Berthon,AM LC,18
Agustín Calvento,D L,18
Agustín Cejas,AM/F C,19
Agustín Colantonio,D C,18
Agustín Velasco,D L,18
Agustín Villalba,GK,18
Bautista Gende,ST,20
Bautista Nazutti,AM R,18
Brandon Vargas,AM L,19
Caín Fara,D RC* DM,25
Damián Galbán,D L,18
Elías Bacre,ST,15
Elías Torres,ST,17
Emanuel Iñíguez,D RC* DM,22
Emiliano Ferrer,GK,18
Emiliano Rodríguez,D C,18
Fabián Assmann,GK,33
Facundo Bertoglio,AM LC,29
Facundo Fernández,D C,19
Facundo Hojman,ST,16
Facundo Tobares,ST,19
Federico Andrada,AM/F C,25
Federico Gino,DM,26
Federico Maciá,D R,20
Fernando Asmar,D/WB R,19
Fernando Evangelista,D/M L,26
Francisco Grahl,AM/F C,27
Franco Pérez,AM LC,20
Gastón Gil Romero,DM,26
Gerónimo Monteros,D L,19
Gonzalo López Labraña,AM R,20
Gonzalo Verón,AM RL* ST,29
Hernán Zubillaga,AM L,17
Ignacio Artola,D C,21
Ignacio Sigismonti,M R,19
Jeremías Angeloni,M C,16
Jeremías Ramírez,D R,18
Jerónimo Flores,AM LC,20
Joaquín Indacoechea,AM R,18
Joel De Marco,M C,16
Jonatan Benedetti,ST,22
Jonathan Farías,AM RC,21
Jonathan Zárate,AM C,20
José Albornoz,AM L,17
José Izquierdo,ST,15
Juan Ignacio Hernández,D C,19
Juan Romero,D C,19
Karim Jurjo,AM R,19
Kevin De Nichilo,D/WB/M R,17
Lautaro Espíndola,AM C,18
Leandro Maciel,DM* M R,23
Leonardo Verdino,DM,19
Leonel Galeano,D C,27
Lucas Di Yorio,ST,22
Lucas Villalba,D/WB L,24
Luchino Giuntini,D C,20
Luciano Pocrnjic,GK,37
Luis Ingolotti,GK,19
Manuel Márquez,AM C,19
Manuel Panaro,AM R* ST,17
Marcos Miers,D LC,29
Mario López,D RC,23
Martín Santa Cruz,D C,19
Mateo Ponce,AM C,16
Mateo Rinaldi,D LC,19
Mateo Stutz,D L,18
Matías Leiva,D R,18
Matías Morello,M RC,18
Maximiliano Guerra,M C,17
Nahuel Yeri,D/WB R* M RC,27
Nazareno Solís,AM L* ST,25
Nehuén Huanchuli,M C,17
Nicolás Bazzana,D C,23
Nicolás Maltisotto,M C,19
Pablo Becker,AM RC* F C,26
Pablo Sánchez,M R,21
Quimey Mostafá,M R,18
Ramiro Garay,AM C,22
Rodrigo Contreras,ST,23
Rodrigo Garro,AM LC,18
Román Martínez,AM C,36
Santiago Aragón,GK,16
Santiago Laquidain,D C,17
Santiago Sayago,DM,19
Santiago Valdez,DM,18
Santiago Vallina,D R,19
Sebastián Rincón,AM RL* ST,25
Tobías Cervera,ST,16
Tomás Loscalzo,D/AM R,19
Tomás Ludueña,M R,19
Tomás Pérez Pinto,GK,19
Uriel Olivieri,AM RC,17
Uriel Ramírez Kloster,M C,19
Yoel Juárez,AM L* ST,17
Aaron Barquett,D/WB R,20
Aaron Reartes,AM RC,19
Agustín Aleo,D/M L,21
Agustín Palomeque,D LC,18
Agustín Passarino,ST,18
Bruno Guelfi,ST,17
Carlos Quintana,D C,31
Damián Batallini,AM RL,23
Dardo Torres,D LC,18
David Salazar,AM L,16
Diego Sosa,AM RL* ST,26
Edwar López,AM R* ST,24
Elías Gómez,D/WB L,25
Esteban Rueda,AM RL,23
Facundo Miño,D C,19
Fausto Montero,DM,30
Fausto Vera,DM,19
Federico Lanzillota,GK,26
Federico Redondo,DM,15
Francis Mac Allister,DM,23
Franco Benítez,AM RLC,16
Franco Ibarra,DM,18
Franco Moyano,DM,21
Franco Ramos,D/WB L,21
Franco Tolosa,D L,18
Gabriel Florentin,AM C,20
Gabriel Hauche,AM RLC* F C,32
Gastón Verón,ST,18
Iván Colman,AM C,24
Jonathan Domínguez,D C,21
Jonathan Sandoval,D/WB R,32
José Aguirre,M L,19
Juan Ignacio Inderkumer,DM,20
Juan Manuel Cabrera,D/WB R,19
Juan Román Pucheta,ST,16
Kevin Mac Allister,D/WB RL* M R,21
Lautaro Centurión,D C,18
Lautaro Ovando,ST,16
Leandro Finochietto,GK,22
Lucas Alegre,GK,16
Lucas Ambrogio,AM RLC,19
Lucas Chaves,GK,23
Lucio Carbone,D R,18
Manuel Cordeviola,AM/F C,20
Marco Di Cesare,M C,17
Marcos Angeleri,D RC,36
Mateo Coronel,ST,20
Matías Caruzzo,D C,34
Matías Galarza,AM RLC,16
Matías Romero,D/WB R* M RC,23
Matko Miljevic,AM LC,18
Maximiliano Centurión,D C,20
Miguel Acosta,GK,17
Miguel Ángel Torrén,D C,30
Nahuel Barboza,DM,19
Nahuel Barragán,ST,22
Nahuel Berón,ST,19
Nicolas Forastiero,GK,20
Nicolás Silva,AM RL,29
Nicolás Sumavil,GK,19
Pablo Minissale,D C,18
Pablo Sequeira,GK,20
Santiago Ledesma,DM,18
Santiago Silva,ST,38
Thiago Nuss,ST,18
Tomás Álvarez,AM RLC,20
Tomás Andrade,AM LC,22
Tomas Pérez Gancedo,AM L,19
Victorio Ramis,AM RL* ST,24
Adrián Parra,M C,18
Agustín Russo,D C,19
Alejandro Rivero,GK,21
Alejo Antilef,AM RLC,20
Alexis Salinas,D C,22
Bruno Báez,ST,19
Daniel Sappa,GK,24
Darío Barbera,GK,19
Diego Núñez,DM,29
Emiliano Méndez,DM,30
Emiliano Papa,D L,37
Emmanuel Alarcón,GK,17
Ezequiel Cérica,ST,32
Ezequiel Piovi,DM,26
Ezequiel Rescaldani,AM/F C,27
Fabio Pereyra,D C,29
Facundo Enríques,D/WB RL,19
Facundo Kruspzky,AM RL* ST,16
Facundo Vilanoba,D RC,19
Federico Cataldi,D/WB L,23
Fernando Torrent Giudi,D/WB/M R,27
Franco Aguirre,AM LC,19
Franco Sbuttoni,D LC,30
Gastón Álvarez Suárez,AM C,26
Gino Pasquali,ST,18
Gonzalo Gómez,AM R,21
Gonzalo Muscia,M C,19
Guillermo Oviedo,M C,18
Horacio Igarzábal,D C,19
Ian Aragón,DM,20
Jesús Soraire,M RC,30
Jhonatan Candia,ST,24
Joel Soñora,AM RC,22
Juan Castro,M R,20
Juan Godoy,D L,20
Juan Kaprof,AM/F C,24
Juan Manuel García,ST,26
Julio Sosa,D C,20
Lautaro Méndez,ST,19
Lautaro Parisi,AM R* ST,25
Leonardo Marchi,D/WB L,22
Leonel Picco,DM,20
Lucas Cubillas,D/WB L,20
Lucas Necul,AM RLC* F C,19
Mateo Carabajal,D C* DM,22
Matías Polizzi,D C,19
Maximiliano Gagliardo,GK,36
Nahuel Cáceres,AM/F C,20
Nicolás Giménez,AM RC,23
Nicolás Pereira,GK,19
Pablo Álvarez,D RLC,35
Patricio Luce,D/WB L,22
Ramiro Balbuena,AM R,19
Rubén Zamponi,D C,32
Tomás Magnano,AM L,19
Tomás Silva,AM C,18
Ulises Abreliano,D/WB R,21
Abel Bustos,M L,20
Agustín Lagos,D C,17
Alejandro Sánchez,GK,32
Andrés Gigena,AM C,18
Ariel Rojas,M LC,33
Augusto Lotti,AM R* ST,23
Braian Jiménez,AM R,19
Camilo Albornoz,D LC,18
Carlos Lapetina,DM,18
Cristian Erbes,DM* M RC,29
Cristian Lucchetti,GK,40
Daniel Ibáñez,GK,21
Dylan Gissi,D RC,28
Fabián Monzón,D/WB/M L,32
Facundo Robles,D/WB/M L,22
Federico Bravo,DM,25
Francisco Starecinchi,ST,17
Franco Pizzicanella,GK,23
Gabriel Risso Patrón,D/WB L,23
Guillermo Acosta,AM R,31
Guillermo Ortiz,D C,26
Gustavo Toledo,D/WB R,29
Hernán Rosales,AM C,20
Ignacio Maestro Puch,ST,15
Javier Toledo,ST,33
Jonás Romero,ST,18
José Luis Fernández,M L,31
Juan Tomicich,D C,19
Julio Herrera,GK,20
Kevin Isa Luna,AM L* ST,18
Leandro Díaz,ST,27
Leonardo Heredia,AM C,23
Lucas Melano,AM RL* ST,26
Luis Estrada,ST,18
Marcelo Ortiz,D C,25
Matías Alustiza,AM/F C,35
Matías Solohaga,ST,21
Mauricio Chaín,GK,17
Moisés Brandán,D/WB/M R,19
Nicolás Aguirre,AM LC,29
Nicolás Laméndola,AM R,20
Pablo González,AM R,22
Ramiro Carrera,AM RLC,25
Sergio González,D/WB R,20
Tobías Díaz,D C,18
Tomás Cuello,AM RL,19
Walter Juárez,D C,20
Yonathan Cabral,D C,27
Aaron Quiros,D LC,17
Agustín Fontana,ST,23
Agustín Mengua,GK,19
Agustín Urzi,AM RL,19
Alan Di Pippa,M C,19
Alejo Bonich,D L,19
Alexis Benítez,D L,20
Alexis Maldonado,D RC,21
Alexis Sosa,D C,19
Axel Ovejero,ST,17
Claudio Bravo,D/WB L,22
Daniel Osvaldo,ST,33
Dany Edjo'o,AM RL* ST,17
Emanuel Coronel,D/WB RL,22
Esteban Cardozo,D C,17
Esteban Conde,GK,36
Fabián Bordagaray,AM RL* ST,32
Facundo Altamirano,GK,23
Facundo Cambeses,GK,22
Facundo Sanguinetti,GK,18
Federico Torres,D RC,20
Feyisaitán Asagidgbi,AM RL,20
Franco Fajardo,D L,17
Franco Quinteros,D LC,20
Giuliano Galoppo,DM,20
Gregorio Tanco,D C,19
Ignacio González,AM L* ST,18
Ignacio Rodríguez,AM R,17
Iker Scotto,ST,17
Israel Damonte,DM,37
Iván Pereyra,DM,19
Jeremías Perales,ST,18
Jesús Dátolo,AM RLC,35
Jonás Gutiérrez,M RC,35
Jorge Rodríguez,D RC,23
Juan Álvarez,AM RL,23
Juan Cajal,GK,20
Juan Manuel Cruz,ST,19
Juan Mendoza,ST,20
Juan Rodríguez,D L,17
Julián Carranza,ST,19
Julián Eseiza,AM RL,17
Julián Vila,DM,18
Junior Arias,ST,26
Lautaro Olivera,D/WB R,19
Lautaro Ramírez,DM,19
Lautaro Rios,DM,18
Luca Bottaro,ST,18
Luciano Gómez,D/WB R* DM* M RC,23
Luciano Lollo,D C,32
Marcos Fredes,D C,18
Mariano Pieres,D C,19
Matías Arias,D L,18
Matías González,AM C,17
Matías Gutiérrez,AM R,18
