,name,age,height,position,foot,date,mv
0,alfred-finnbogason,27.0,184,Forward - Centre-Forward,right,2016-07-01,£4.50m
1,alfred-finnbogason,27.0,184,Forward - Centre-Forward,right,2016-06-30,£4.50m
2,alfred-finnbogason,27.0,184,Forward - Centre-Forward,right,2016-02-01,£3.60m
3,alfred-finnbogason,27.0,184,Forward - Centre-Forward,right,2016-01-31,£3.60m
4,alfred-finnbogason,26.0,184,Forward - Centre-Forward,right,2015-07-24,£3.60m
5,alfred-finnbogason,25.0,184,Forward - Centre-Forward,right,2014-07-02,£8.10m
6,alfred-finnbogason,23.0,184,Forward - Centre-Forward,right,2012-08-16,£540Th.
7,alfred-finnbogason,23.0,184,Forward - Centre-Forward,right,2012-08-01,£540Th.
8,alfred-finnbogason,23.0,184,Forward - Centre-Forward,right,2012-03-06,£540Th.
9,alfred-finnbogason,22.0,184,Forward - Centre-Forward,right,2011-01-07,£270Th.
10,alfred-finnbogason,18.0,184,Forward - Centre-Forward,right,2007-10-16,-
11,alfred-finnbogason,18.0,184,Forward - Centre-Forward,right,2007-07-26,-
12,alfred-finnbogason,17.0,184,Forward - Centre-Forward,right,2006-03-15,-
13,alfred-finnbogason,16.0,184,Forward - Centre-Forward,right,2005-05-27,-
14,andre-hahn,28.0,185,Forward - Right Winger,right,2018-07-01,£1.35m
15,andre-hahn,27.0,185,Forward - Right Winger,right,2017-07-01,£4.05m
16,andre-hahn,24.0,185,Forward - Right Winger,right,2014-07-01,£4.50m
17,andre-hahn,23.0,185,Forward - Right Winger,right,2013-01-18,£270Th.
18,andre-hahn,21.0,185,Forward - Right Winger,right,2011-07-01,£180Th.
19,andre-hahn,21.0,185,Forward - Right Winger,right,2011-01-01,£135Th.
20,andre-hahn,20.0,185,Forward - Right Winger,right,2010-07-01,£68Th.
21,andre-hahn,19.0,185,Forward - Right Winger,right,2009-07-01,-
22,andre-hahn,18.0,185,Forward - Right Winger,right,2008-07-01,-
23,andre-hahn,18.0,185,Forward - Right Winger,right,2008-01-01,-
24,andreas-luthe,33.0,195,Goalkeeper,right,2020-08-03,£360Th.
25,andreas-luthe,29.0,195,Goalkeeper,right,2016-07-01,£450Th.
26,andreas-luthe,22.0,195,Goalkeeper,right,2009-07-01,£68Th.
27,andreas-luthe,19.0,195,Goalkeeper,right,2006-07-01,-
28,andreas-luthe,17.0,195,Goalkeeper,right,2004-07-01,-
29,andreas-luthe,15.0,195,Goalkeeper,right,2002-07-01,-
30,andreas-luthe,14.0,195,Goalkeeper,right,2001-07-01,-
31,andreas-luthe,10.0,195,Goalkeeper,right,1997-07-01,-
32,carlos-gruezo,24.0,171,Midfielder - Defensive Midfield,right,2019-07-02,£1.80m
33,carlos-gruezo,21.0,171,Midfielder - Defensive Midfield,right,2016-01-23,£1.80m
34,carlos-gruezo,19.0,171,Midfielder - Defensive Midfield,right,2014-01-30,£900Th.
35,carlos-gruezo,17.0,171,Midfielder - Defensive Midfield,right,2012-01-31,-
36,carlos-gruezo,16.0,171,Midfielder - Defensive Midfield,right,2011-07-01,-
37,carlos-gruezo,16.0,171,Midfielder - Defensive Midfield,right,2011-01-01,-
38,carlos-gruezo,15.0,171,Midfielder - Defensive Midfield,right,2010-03-09,-
39,daniel-baier,36.0,176,Midfielder - Defensive Midfield,right,2020-09-09,-
40,daniel-baier,26.0,176,Midfielder - Defensive Midfield,right,2010-01-31,£675Th.
41,daniel-baier,25.0,176,Midfielder - Defensive Midfield,right,2009-06-30,£900Th.
42,daniel-baier,24.0,176,Midfielder - Defensive Midfield,right,2008-09-01,£1.17m
43,daniel-baier,23.0,176,Midfielder - Defensive Midfield,right,2007-07-19,£675Th.
44,daniel-baier,19.0,176,Midfielder - Defensive Midfield,right,2003-07-01,-
45,daniel-baier,17.0,176,Midfielder - Defensive Midfield,right,2001-07-01,-
46,daniel-baier,16.0,176,Midfielder - Defensive Midfield,right,2000-07-01,-
47,daniel-baier,14.0,176,Midfielder - Defensive Midfield,right,1998-07-01,-
48,daniel-baier,8.0,176,Midfielder - Defensive Midfield,right,1992-07-01,-
49,eduard-lowen,23.0,188,Midfielder - Central Midfield,right,2020-10-05,£4.95m
50,eduard-lowen,23.0,188,Midfielder - Central Midfield,right,2020-01-05,£6.30m
51,eduard-lowen,22.0,188,Midfielder - Central Midfield,right,2019-07-01,£6.30m
52,eduard-lowen,20.0,188,Midfielder - Central Midfield,right,2017-07-01,£315Th.
53,eduard-lowen,19.0,188,Midfielder - Central Midfield,right,2016-07-01,-
54,eduard-lowen,18.0,188,Midfielder - Central Midfield,right,2015-07-01,-
55,eduard-lowen,17.0,188,Midfielder - Central Midfield,right,2014-07-01,-
56,eduard-lowen,15.0,188,Midfielder - Central Midfield,right,2012-07-01,-
57,eduard-lowen,11.0,188,Midfielder - Central Midfield,right,2008-07-01,-
58,fabian-giefer,30.0,196,Goalkeeper,right,2020-08-03,£270Th.
59,fabian-giefer,27.0,196,Goalkeeper,right,2017-07-01,£450Th.
60,fabian-giefer,27.0,196,Goalkeeper,right,2017-06-30,£450Th.
61,fabian-giefer,27.0,196,Goalkeeper,right,2017-01-19,£450Th.
62,fabian-giefer,24.0,196,Goalkeeper,right,2014-07-01,£2.25m
63,fabian-giefer,22.0,196,Goalkeeper,right,2012-07-01,£450Th.
64,fabian-giefer,19.0,196,Goalkeeper,right,2009-07-01,-
65,fabian-giefer,18.0,196,Goalkeeper,right,2008-07-01,-
66,fabian-giefer,17.0,196,Goalkeeper,right,2007-07-01,-
67,fabian-giefer,15.0,196,Goalkeeper,right,2005-07-01,-
68,fabian-giefer,13.0,196,Goalkeeper,right,2003-07-01,-
69,fabian-giefer,9.0,196,Goalkeeper,right,1999-07-01,-
70,felix-gotze,20.0,185,Midfielder - Defensive Midfield,right,2018-07-01,£180Th.
71,felix-gotze,19.0,185,Midfielder - Defensive Midfield,right,2017-07-01,£180Th.
72,felix-gotze,17.0,185,Midfielder - Defensive Midfield,right,2015-07-01,-
73,felix-gotze,16.0,185,Midfielder - Defensive Midfield,right,2014-07-16,-
74,felix-gotze,15.0,185,Midfielder - Defensive Midfield,right,2013-07-01,-
75,felix-uduokhai,23.0,192,Defender - Centre-Back,left,2020-07-01,£6.12m
76,felix-uduokhai,23.0,192,Defender - Centre-Back,left,2020-06-30,£6.12m
77,felix-uduokhai,22.0,192,Defender - Centre-Back,left,2019-08-28,£3.15m
78,felix-uduokhai,20.0,192,Defender - Centre-Back,left,2017-07-01,£720Th.
79,felix-uduokhai,19.0,192,Defender - Centre-Back,left,2016-01-13,-
80,felix-uduokhai,17.0,192,Defender - Centre-Back,left,2014-07-01,-
81,felix-uduokhai,16.0,192,Defender - Centre-Back,left,2013-07-01,-
82,felix-uduokhai,11.0,192,Defender - Centre-Back,left,2008-07-01,-
83,florian-niederlechner,29.0,187,Forward - Centre-Forward,left,2019-07-01,£3.15m
84,florian-niederlechner,27.0,187,Forward - Centre-Forward,left,2017-07-01,£4.95m
85,florian-niederlechner,27.0,187,Forward - Centre-Forward,left,2017-06-30,£4.95m
86,florian-niederlechner,26.0,187,Forward - Centre-Forward,left,2016-01-31,£1.80m
87,florian-niederlechner,25.0,187,Forward - Centre-Forward,left,2015-07-01,£1.80m
88,florian-niederlechner,23.0,187,Forward - Centre-Forward,left,2013-01-03,£360Th.
89,florian-niederlechner,21.0,187,Forward - Centre-Forward,left,2011-07-05,£45Th.
90,florian-niederlechner,20.0,187,Forward - Centre-Forward,left,2010-07-01,-
91,florian-niederlechner,18.0,187,Forward - Centre-Forward,left,2008-07-01,-
