,name,age,date,mv
0,alfred-finnbogason,27,16,4500000
1,alfred-finnbogason,27,16,4500000
2,alfred-finnbogason,27,16,3600000
3,alfred-finnbogason,27,16,3600000
4,alfred-finnbogason,26,15,3600000
5,alfred-finnbogason,25,14,8100000
6,alfred-finnbogason,23,12,540000
7,alfred-finnbogason,23,12,540000
8,alfred-finnbogason,23,12,540000
9,alfred-finnbogason,22,11,270000
10,alfred-finnbogason,18,7,270000
11,alfred-finnbogason,18,7,270000
12,alfred-finnbogason,17,6,270000
13,alfred-finnbogason,16,5,270000
14,andre-hahn,28,18,1350000
15,andre-hahn,27,17,4050000
16,andre-hahn,24,14,4500000
17,andre-hahn,23,13,270000
18,andre-hahn,21,11,180000
19,andre-hahn,21,11,135000
20,andre-hahn,20,10,68000
21,andre-hahn,19,9,68000
22,andre-hahn,18,8,68000
23,andre-hahn,18,8,68000
24,andreas-luthe,33,20,360000
25,andreas-luthe,29,16,450000
26,andreas-luthe,22,9,68000
27,andreas-luthe,19,6,68000
28,andreas-luthe,17,4,68000
29,andreas-luthe,15,2,68000
30,andreas-luthe,14,1,68000
31,andreas-luthe,10,97,68000
32,carlos-gruezo,24,19,1800000
33,carlos-gruezo,21,16,1800000
34,carlos-gruezo,19,14,900000
35,carlos-gruezo,17,12,900000
36,carlos-gruezo,16,11,900000
37,carlos-gruezo,16,11,900000
38,carlos-gruezo,15,10,900000
39,daniel-baier,36,20,675000
40,daniel-baier,26,10,675000
41,daniel-baier,25,9,900000
42,daniel-baier,24,8,1170000
43,daniel-baier,23,7,675000
44,daniel-baier,19,3,675000
45,daniel-baier,17,1,675000
46,daniel-baier,16,0,675000
47,daniel-baier,14,98,675000
48,daniel-baier,8,92,675000
49,eduard-lowen,23,20,4950000
50,eduard-lowen,23,20,6300000
51,eduard-lowen,22,19,6300000
52,eduard-lowen,20,17,315000
53,eduard-lowen,19,16,315000
54,eduard-lowen,18,15,315000
55,eduard-lowen,17,14,315000
56,eduard-lowen,15,12,315000
57,eduard-lowen,11,8,315000
58,fabian-giefer,30,20,270000
59,fabian-giefer,27,17,450000
60,fabian-giefer,27,17,450000
61,fabian-giefer,27,17,450000
62,fabian-giefer,24,14,2250000
63,fabian-giefer,22,12,450000
64,fabian-giefer,19,9,450000
65,fabian-giefer,18,8,450000
66,fabian-giefer,17,7,450000
67,fabian-giefer,15,5,450000
68,fabian-giefer,13,3,450000
69,fabian-giefer,9,99,450000
70,felix-gotze,20,18,180000
71,felix-gotze,19,17,180000
72,felix-gotze,17,15,180000
73,felix-gotze,16,14,180000
74,felix-gotze,15,13,180000
75,felix-uduokhai,23,20,6120000
76,felix-uduokhai,23,20,6120000
77,felix-uduokhai,22,19,3150000
78,felix-uduokhai,20,17,720000
79,felix-uduokhai,19,16,720000
80,felix-uduokhai,17,14,720000
81,felix-uduokhai,16,13,720000
82,felix-uduokhai,11,8,720000
83,florian-niederlechner,29,19,3150000
84,florian-niederlechner,27,17,4950000
85,florian-niederlechner,27,17,4950000
86,florian-niederlechner,26,16,1800000
87,florian-niederlechner,25,15,1800000
88,florian-niederlechner,23,13,360000
89,florian-niederlechner,21,11,45000
90,florian-niederlechner,20,10,45000
91,florian-niederlechner,18,8,45000
92,florian-niederlechner,17,7,45000
93,florian-niederlechner,16,6,45000
94,florian-niederlechner,15,5,45000
95,florian-niederlechner,12,2,45000
96,fredrik-jensen,21,18,1800000
97,fredrik-jensen,19,16,90000
98,fredrik-jensen,17,14,1800000
99,georg-teigl,29,20,495000
100,georg-teigl,27,18,540000
101,georg-teigl,27,18,540000
102,georg-teigl,25,16,675000
103,georg-teigl,23,14,720000
104,georg-teigl,20,11,270000
105,georg-teigl,18,9,68000
106,georg-teigl,17,8,68000
107,georg-teigl,15,6,68000
108,georg-teigl,14,5,68000
109,georg-teigl,10,1,68000
110,federico-valverde,20,18,5400000
111,federico-valverde,20,18,5400000
112,federico-valverde,19,17,2700000
113,federico-valverde,18,16,405000
114,federico-valverde,17,15,2700000
115,jan-moravek,23,12,1580000
116,jan-moravek,23,12,1580000
117,jan-moravek,23,12,3150000
118,jan-moravek,22,11,3150000
119,jan-moravek,21,10,1800000
120,jan-moravek,20,9,450000
121,jan-moravek,17,6,450000
122,jan-moravek,15,4,450000
123,jeffrey-gouweleeuw,25,16,2700000
124,jeffrey-gouweleeuw,22,13,2250000
125,jeffrey-gouweleeuw,20,11,270000
126,jeffrey-gouweleeuw,19,10,270000
127,jeffrey-gouweleeuw,17,8,270000
128,jeffrey-gouweleeuw,15,6,270000
129,julian-schieber,29,18,900000
130,julian-schieber,25,14,2250000
131,julian-schieber,23,12,7200000
132,julian-schieber,22,11,5850000
133,julian-schieber,21,10,1800000
134,julian-schieber,20,9,90000
135,julian-schieber,19,8,45000
136,julian-schieber,17,6,45000
137,julian-schieber,16,5,45000
138,julian-schieber,15,4,45000
139,kilian-jakob,21,19,180000
140,kilian-jakob,19,17,113000
141,kilian-jakob,19,17,113000
142,kilian-jakob,18,16,113000
143,kilian-jakob,17,15,113000
144,kilian-jakob,16,14,113000
145,kilian-jakob,12,10,113000
146,marco-richter,19,17,68000
