name,age,date,mv
alfred-finnbogason,27,16,3900146.484
alfred-finnbogason,26,15,3600000
alfred-finnbogason,25,14,8100000
alfred-finnbogason,23,12,540000
alfred-finnbogason,22,11,270000
alfred-finnbogason,18,7,270000
alfred-finnbogason,17,6,270000
alfred-finnbogason,16,5,270000
andre-hahn,28,18,1350000
andre-hahn,27,17,4050000
andre-hahn,24,14,4500000
andre-hahn,23,13,270000
andre-hahn,21,11,146250
andre-hahn,20,10,68000
andre-hahn,19,9,68000
andre-hahn,18,8,68000
andreas-luthe,33,20,360000
andreas-luthe,29,16,450000
andreas-luthe,22,9,68000
andreas-luthe,19,6,68000
andreas-luthe,17,4,68000
andreas-luthe,15,2,68000
andreas-luthe,14,1,68000
andreas-luthe,10,97,68000
carlos-gruezo,24,19,1800000
carlos-gruezo,21,16,1800000
carlos-gruezo,19,14,900000
carlos-gruezo,17,12,900000
carlos-gruezo,16,11,900000
carlos-gruezo,15,10,900000
daniel-baier,36,20,675000
daniel-baier,26,10,675000
daniel-baier,25,9,900000
daniel-baier,24,8,1170000
daniel-baier,23,7,675000
daniel-baier,19,3,675000
daniel-baier,17,1,675000
daniel-baier,16,0,675000
daniel-baier,14,98,675000
daniel-baier,8,92,675000
eduard-lowen,23,20,5962500
eduard-lowen,22,19,6300000
eduard-lowen,20,17,315000
eduard-lowen,19,16,315000
eduard-lowen,18,15,315000
eduard-lowen,17,14,315000
eduard-lowen,15,12,315000
eduard-lowen,11,8,315000
fabian-giefer,30,20,270000
fabian-giefer,27,17,450000
fabian-giefer,24,14,2250000
fabian-giefer,22,12,450000
fabian-giefer,19,9,450000
fabian-giefer,18,8,450000
fabian-giefer,17,7,450000
fabian-giefer,15,5,450000
fabian-giefer,13,3,450000
fabian-giefer,9,99,450000
felix-gotze,20,18,180000
felix-gotze,19,17,180000
felix-gotze,17,15,180000
felix-gotze,16,14,180000
felix-gotze,15,13,180000
felix-uduokhai,23,20,6120000
felix-uduokhai,22,19,3150000
felix-uduokhai,20,17,720000
felix-uduokhai,19,16,720000
felix-uduokhai,17,14,720000
felix-uduokhai,16,13,720000
felix-uduokhai,11,8,720000
florian-niederlechner,29,19,3150000
florian-niederlechner,27,17,4950000
florian-niederlechner,26,16,1800000
florian-niederlechner,25,15,1800000
florian-niederlechner,23,13,360000
florian-niederlechner,21,11,45000
florian-niederlechner,20,10,45000
florian-niederlechner,18,8,45000
florian-niederlechner,17,7,45000
florian-niederlechner,16,6,45000
florian-niederlechner,15,5,45000
florian-niederlechner,12,2,45000
fredrik-jensen,21,18,1800000
fredrik-jensen,19,16,90000
fredrik-jensen,17,14,1800000
georg-teigl,29,20,495000
georg-teigl,27,18,540000
georg-teigl,25,16,675000
georg-teigl,23,14,720000
georg-teigl,20,11,270000
georg-teigl,18,9,68000
georg-teigl,17,8,68000
georg-teigl,15,6,68000
georg-teigl,14,5,68000
georg-teigl,10,1,68000
federico-valverde,20,18,5400000
federico-valverde,19,17,2700000
federico-valverde,18,16,405000
federico-valverde,17,15,2700000
jan-moravek,23,12,2277777.778
jan-moravek,22,11,3150000
jan-moravek,21,10,1800000
jan-moravek,20,9,450000
jan-moravek,17,6,450000
jan-moravek,15,4,450000
jeffrey-gouweleeuw,25,16,2700000
jeffrey-gouweleeuw,22,13,2250000
jeffrey-gouweleeuw,20,11,270000
jeffrey-gouweleeuw,19,10,270000
jeffrey-gouweleeuw,17,8,270000
jeffrey-gouweleeuw,15,6,270000
julian-schieber,29,18,900000
julian-schieber,25,14,2250000
julian-schieber,23,12,7200000
julian-schieber,22,11,5850000
julian-schieber,21,10,1800000
julian-schieber,20,9,90000
julian-schieber,19,8,45000
julian-schieber,17,6,45000
julian-schieber,16,5,45000
julian-schieber,15,4,45000
kilian-jakob,21,19,180000
kilian-jakob,19,17,113000
kilian-jakob,18,16,113000
kilian-jakob,17,15,113000
kilian-jakob,16,14,113000
kilian-jakob,12,10,113000
marco-richter,19,17,68000
marco-richter,18,16,68000
marco-richter,16,14,68000
marco-richter,15,13,68000
marco-richter,14,12,68000
marco-richter,6,4,68000
marek-suchy,31,19,2030000
marek-suchy,26,14,3400000
marek-suchy,22,10,2250000
marek-suchy,17,5,2250000
marek-suchy,16,4,2250000
noah-sarenren-bazee,23,19,1130000
noah-sarenren-bazee,20,16,68000
noah-sarenren-bazee,19,15,68000
noah-sarenren-bazee,17,13,68000
noah-sarenren-bazee,15,11,68000
philipp-max,27,20,13500000
philipp-max,22,15,810000
philipp-max,21,14,135000
philipp-max,19,12,135000
philipp-max,17,10,135000
philipp-max,15,8,135000
philipp-max,14,7,135000
philipp-max,10,3,135000
rani-khedira,23,17,675000
rani-khedira,20,14,675000
rani-khedira,18,12,270000
rani-khedira,17,11,270000
rani-khedira,15,9,270000
rani-khedira,11,5,270000
raphael-framberger,20,15,90000
raphael-framberger,17,12,90000
raphael-framberger,15,10,90000
raphael-framberger,9,4,90000
reece-oxford,20,19,4800000
reece-oxford,19,18,4500000
reece-oxford,19,17,4500000
reece-oxford,18,17,3700000
reece-oxford,16,15,3600000
reece-oxford,15,14,3600000
reece-oxford,12,11,3600000
ruben-vargas,21,19,3600000
ruben-vargas,19,17,3600000
ruben-vargas,18,16,3600000
ruben-vargas,17,15,3600000
sergio-cordova,24,21,1440000
sergio-cordova,23,20,1440000
sergio-cordova,20,17,197250
sergio-cordova,18,15,113000
sergio-cordova,17,14,113000
simon-asta,19,20,225000
simon-asta,17,18,225000
simon-asta,15,16,225000
stephan-lichtsteiner,36,20,1260000
stephan-lichtsteiner,35,19,1350000
stephan-lichtsteiner,34,18,1350000
stephan-lichtsteiner,27,11,8100000
stephan-lichtsteiner,24,8,4500000
stephan-lichtsteiner,21,5,1260000
stephan-lichtsteiner,17,1,1260000
stephan-lichtsteiner,16,0,1260000
tin-jedvaj,24,20,6300000
tin-jedvaj,23,19,6750000
tin-jedvaj,19,15,5850000
tin-jedvaj,18,14,3600000
tin-jedvaj,17,13,675000
tin-jedvaj,16,12,675000
tin-jedvaj,14,10,675000
tomas-koubek,27,19,5400000
tomas-koubek,25,17,1350000
tomas-koubek,24,16,900000
tomas-koubek,23,15,360000
tomas-koubek,18,10,360000
abdul-fesenmeyer,18,20,360000
abdul-fesenmeyer,16,18,360000
abdul-fesenmeyer,14,16,360000
achunike-ekene,17,19,360000
achunike-ekene,15,17,360000
adrian-stanilewicz,20,20,180000
adrian-stanilewicz,19,19,45000
adrian-stanilewicz,17,17,45000
adrian-stanilewicz,15,15,45000
aleksandar-dragovic,27,18,9000000
aleksandar-dragovic,26,17,10800000
aleksandar-dragovic,25,16,13500000
aleksandar-dragovic,22,13,6300000
aleksandar-dragovic,20,11,2700000
aleksandar-dragovic,17,8,45000
aleksandar-dragovic,15,6,45000
aleksandar-dragovic,14,5,45000
ayman-azhil,20,21,45000
ayman-azhil,19,20,45000
ayman-azhil,17,18,45000
ayman-azhil,15,16,45000
ayoub-asrihi,19,20,45000
ayoub-asrihi,18,19,45000
ayoub-asrihi,17,18,45000
ayoub-asrihi,16,17,45000
ayoub-asrihi,15,16,45000
ayoub-asrihi,8,9,45000
cem-turkmen,26,2,45000
charles-aranguiz,26,15,8550000
charles-aranguiz,25,14,2250000
charles-aranguiz,22,11,630000
charles-aranguiz,21,10,810000
charles-aranguiz,20,9,810000
charles-aranguiz,19,7,810000
charles-aranguiz,18,7,810000
charles-aranguiz,17,6,810000
christopher-scott,22,16,810000
christopher-scott,19,13,810000
christopher-scott,18,12,810000
christopher-scott,17,11,810000
daley-sinkgraven,24,19,2700000
daley-sinkgraven,20,15,1350000
daley-sinkgraven,18,13,1350000
daley-sinkgraven,17,12,1350000
daley-sinkgraven,15,10,1350000
daley-sinkgraven,11,6,1350000
edmond-tapsoba,21,20,4050000
edmond-tapsoba,20,19,315000
edmond-tapsoba,19,18,315000
edmond-tapsoba,18,17,315000
exequiel-palacios,22,20,22500000
exequiel-palacios,19,17,270000
exequiel-palacios,17,15,22500000
fabian-ruth,19,20,22500000
fabian-ruth,17,18,22500000
fabian-ruth,16,17,22500000
fabian-ruth,14,15,22500000
florian-wirtz,17,20,22500000
florian-wirtz,15,18,22500000
florian-wirtz,7,10,22500000
jonathan-tah,19,15,4050000
jonathan-tah,18,14,5850000
jonathan-tah,17,13,5850000
jonathan-tah,16,12,5850000
jonathan-tah,15,11,5850000
jonathan-tah,13,9,5850000
julian-baumgartlinger,28,16,5400000
julian-baumgartlinger,23,11,2030000
julian-baumgartlinger,21,9,315000
julian-baumgartlinger,19,7,315000
julian-baumgartlinger,17,5,315000
julian-baumgartlinger,15,3,315000
julian-baumgartlinger,13,1,315000
kai-havertz,21,20,72900000
kai-havertz,17,16,90000
kai-havertz,15,14,90000
kai-havertz,11,10,90000
kai-havertz,10,9,90000
karim-bellarabi,24,14,2250000
karim-bellarabi,23,13,2250000
karim-bellarabi,21,11,900000
karim-bellarabi,20,10,45000
karim-bellarabi,19,9,45000
karim-bellarabi,18,8,45000
karim-bellarabi,17,7,45000
karim-bellarabi,15,5,45000
karim-bellarabi,14,4,45000
karim-bellarabi,8,98,45000
kerem-demirbay,26,19,28800000
kerem-demirbay,23,16,1170000
kerem-demirbay,22,15,967500
kerem-demirbay,21,14,315000
kerem-demirbay,20,13,315000
kerem-demirbay,19,12,315000
kerem-demirbay,18,11,315000
kerem-demirbay,17,10,315000
kerem-demirbay,15,8,315000
kerem-demirbay,14,7,315000
kevin-bukusu,19,20,315000
kevin-bukusu,17,18,315000
kevin-bukusu,15,16,315000
kevin-volland,28,20,25200000
kevin-volland,24,16,15300000
kevin-volland,20,12,3150000
kevin-volland,19,11,315000
kevin-volland,18,10,315000
kevin-volland,17,9,315000
kevin-volland,15,7,315000
kevin-volland,14,6,315000
kevin-volland,13,5,315000
lars-bender,20,9,1530000
lars-bender,17,6,45000
lars-bender,15,4,45000
lars-bender,13,2,45000
lars-bender,10,99,45000
leon-bailey,20,17,11250000
leon-bailey,18,15,11250000
leon-bailey,16,13,11250000
leon-bailey,14,11,11250000
lucas-alario,25,17,10800000
lucas-alario,23,15,45000
lucas-alario,19,11,10800000
lukas-hradecky,28,18,9000000
lukas-hradecky,25,15,1130000
lukas-hradecky,23,13,720000
lukas-hradecky,19,9,45000
lukas-hradecky,19,8,45000
lukas-hradecky,18,8,45000
marc-lamti,19,20,180000
marc-lamti,17,18,180000
marc-lamti,15,16,180000
marcel-johnen,17,19,180000
marcel-johnen,16,18,180000
marcel-johnen,15,17,180000
marcel-lotka,19,20,113000
marcel-lotka,17,18,113000
marcel-lotka,16,17,113000
marcel-lotka,15,16,113000
marcel-lotka,14,15,113000
marcel-lotka,13,14,113000
marco-wolff,22,19,23000
marco-wolff,20,17,113000
marvin-dose,19,16,113000
mitchell-weiser,24,18,10800000
mitchell-weiser,21,15,1800000
mitchell-weiser,19,13,1012500
mitchell-weiser,18,12,900000
mitchell-weiser,17,11,900000
mitchell-weiser,15,9,900000
mitchell-weiser,11,5,900000
moussa-diaby,20,19,10800000
moussa-diaby,19,18,450000
moussa-diaby,19,17,450000
moussa-diaby,17,16,450000
moussa-diaby,15,14,450000
nadiem-amiri,23,19,15300000
nadiem-amiri,18,14,15300000
nadiem-amiri,17,13,15300000
nadiem-amiri,16,12,15300000
nadiem-amiri,15,11,15300000
nadiem-amiri,14,10,15300000
niklas-lomb,26,19,225000
niklas-lomb,25,18,225000
niklas-lomb,23,16,315000
niklas-lomb,22,15,145000
niklas-lomb,19,12,23000
niklas-lomb,17,10,23000
niklas-lomb,15,8,23000
paulinho,31,19,34200000
paulinho,30,18,36000000
paulinho,29,17,13500000
paulinho,27,15,8100000
paulinho,25,13,10800000
paulinho,25,18,630000
paulinho,24,12,6750000
paulinho,24,17,630000
paulinho,22,10,360000
paulinho,22,15,241666.6667
paulinho,22,14,270000
paulinho,22,19,585000
paulinho,21,9,158000
paulinho,21,14,270000
paulinho,21,18,585000
paulinho,20,8,158000
paulinho,20,13,233360
paulinho,20,17,158000
paulinho,19,7,158000
paulinho,19,12,158000
paulinho,18,6,158000
paulinho,18,18,22500000
paulinho,18,11,158000
paulinho,17,17,158000
paulinho,23,16,225000
paulinho,23,15,225000
phil-kemper,17,19,158000
phil-kemper,15,17,158000
ramazan-ozcan,36,20,315000
ramazan-ozcan,32,16,1130000
ramazan-ozcan,27,11,225000
ramazan-ozcan,26,10,472500
ramazan-ozcan,24,8,747777.7778
ramazan-ozcan,22,6,315000
ramazan-ozcan,19,3,315000
ramazan-ozcan,18,2,315000
ramazan-ozcan,16,0,315000
ramazan-ozcan,14,98,315000
sven-bender,28,17,6300000
sven-bender,20,9,1080000
sven-bender,17,6,45000
sven-bender,15,4,45000
sven-bender,13,2,45000
sven-bender,10,99,45000
wendell,21,14,2700000
wendell,20,13,2700000
wendell,19,12,2700000
achraf-hakimi,21,20,48600000
achraf-hakimi,19,18,4500000
achraf-hakimi,18,17,270000
achraf-hakimi,17,16,270000
achraf-hakimi,16,15,270000
axel-witsel,29,18,18000000
axel-witsel,28,17,18000000
axel-witsel,23,12,18000000
axel-witsel,22,11,9000000
axel-witsel,17,6,9000000
axel-witsel,16,5,9000000
