name,age,season,mv,potential,transfer_no
alfred-finnbogason,26,15,4050000,80.86,7
alfred-finnbogason,25,14,3600000,80.86,6
alfred-finnbogason,23,12,8100000,80.86,5
alfred-finnbogason,22,11,540000,80.86,4
alfred-finnbogason,18,7,270000,80.86,3
alfred-finnbogason,17,6,270000,80.86,2
alfred-finnbogason,16,5,270000,80.86,1
andre-hahn,27,17,1350000,80.86,7
andre-hahn,24,14,4050000,80.86,6
andre-hahn,23,13,4500000,80.86,5
andre-hahn,21,11,270000,80.86,4
andre-hahn,20,10,157500,80.86,3
andre-hahn,19,9,68000,80.86,2
andre-hahn,18,8,68000,80.86,1
andreas-luthe,29,16,360000,80.86,7
andreas-luthe,22,9,450000,80.86,6
andreas-luthe,19,6,68000,80.86,5
andreas-luthe,17,4,68000,80.86,4
andreas-luthe,15,2,68000,80.86,3
andreas-luthe,14,1,68000,80.86,2
andreas-luthe,10,97,68000,80.86,1
carlos-gruezo,21,16,1800000,80.86,5
carlos-gruezo,19,14,1800000,80.86,4
carlos-gruezo,17,12,900000,80.86,3
carlos-gruezo,16,11,900000,80.86,2
carlos-gruezo,15,10,900000,80.86,1
daniel-baier,26,10,675000,80.86,9
daniel-baier,25,9,675000,80.86,8
daniel-baier,24,8,900000,80.86,7
daniel-baier,23,7,1170000,80.86,6
daniel-baier,19,3,675000,80.86,5
daniel-baier,17,1,675000,80.86,4
daniel-baier,16,0,675000,80.86,3
daniel-baier,14,98,675000,80.86,2
daniel-baier,8,92,675000,80.86,1
eduard-lowen,22,19,5625000,80.86,7
eduard-lowen,20,17,6300000,80.86,6
eduard-lowen,19,16,315000,80.86,5
eduard-lowen,18,15,315000,80.86,4
eduard-lowen,17,14,315000,80.86,3
eduard-lowen,15,12,315000,80.86,2
eduard-lowen,11,8,315000,80.86,1
fabian-giefer,27,17,270000,80.86,9
fabian-giefer,24,14,450000,80.86,8
fabian-giefer,22,12,2250000,80.86,7
fabian-giefer,19,9,450000,80.86,6
fabian-giefer,18,8,450000,80.86,5
fabian-giefer,17,7,450000,80.86,4
fabian-giefer,15,5,450000,80.86,3
fabian-giefer,13,3,450000,80.86,2
fabian-giefer,9,99,450000,80.86,1
felix-gotze,19,17,180000,80.86,4
felix-gotze,17,15,180000,80.86,3
felix-gotze,16,14,180000,80.86,2
felix-gotze,15,13,180000,80.86,1
felix-uduokhai,22,19,6120000,80.86,6
felix-uduokhai,20,17,3150000,80.86,5
felix-uduokhai,19,16,720000,80.86,4
felix-uduokhai,17,14,720000,80.86,3
felix-uduokhai,16,13,720000,80.86,2
felix-uduokhai,11,8,720000,80.86,1
florian-niederlechner,27,17,3150000,80.86,11
florian-niederlechner,26,16,4950000,80.86,10
florian-niederlechner,25,15,1800000,80.86,9
florian-niederlechner,23,13,1800000,80.86,8
florian-niederlechner,21,11,360000,80.86,7
florian-niederlechner,20,10,45000,80.86,6
florian-niederlechner,18,8,45000,80.86,5
florian-niederlechner,17,7,45000,80.86,4
florian-niederlechner,16,6,45000,80.86,3
florian-niederlechner,15,5,45000,80.86,2
florian-niederlechner,12,2,45000,80.86,1
fredrik-jensen,19,16,1800000,80.86,2
fredrik-jensen,17,14,90000,80.86,1
georg-teigl,27,18,495000,80.86,9
georg-teigl,25,16,540000,80.86,8
georg-teigl,23,14,675000,80.86,7
georg-teigl,20,11,720000,80.86,6
georg-teigl,18,9,270000,80.86,5
