name,foot,height,position
alfred-finnbogason,right,184,Forward - Centre-Forward
alfred-finnbogason,right,184,Forward - Centre-Forward
alfred-finnbogason,right,184,Forward - Centre-Forward
alfred-finnbogason,right,184,Forward - Centre-Forward
alfred-finnbogason,right,184,Forward - Centre-Forward
alfred-finnbogason,right,184,Forward - Centre-Forward
alfred-finnbogason,right,184,Forward - Centre-Forward
alfred-finnbogason,right,184,Forward - Centre-Forward
alfred-finnbogason,right,184,Forward - Centre-Forward
alfred-finnbogason,right,184,Forward - Centre-Forward
alfred-finnbogason,right,184,Forward - Centre-Forward
alfred-finnbogason,right,184,Forward - Centre-Forward
alfred-finnbogason,right,184,Forward - Centre-Forward
alfred-finnbogason,right,184,Forward - Centre-Forward
andre-hahn,right,185,Forward - Right Winger
andre-hahn,right,185,Forward - Right Winger
andre-hahn,right,185,Forward - Right Winger
andre-hahn,right,185,Forward - Right Winger
andre-hahn,right,185,Forward - Right Winger
andre-hahn,right,185,Forward - Right Winger
andre-hahn,right,185,Forward - Right Winger
andre-hahn,right,185,Forward - Right Winger
andre-hahn,right,185,Forward - Right Winger
andre-hahn,right,185,Forward - Right Winger
andreas-luthe,right,195,Goalkeeper
andreas-luthe,right,195,Goalkeeper
andreas-luthe,right,195,Goalkeeper
andreas-luthe,right,195,Goalkeeper
andreas-luthe,right,195,Goalkeeper
andreas-luthe,right,195,Goalkeeper
andreas-luthe,right,195,Goalkeeper
andreas-luthe,right,195,Goalkeeper
carlos-gruezo,right,171,Midfielder - Defensive Midfield
carlos-gruezo,right,171,Midfielder - Defensive Midfield
carlos-gruezo,right,171,Midfielder - Defensive Midfield
carlos-gruezo,right,171,Midfielder - Defensive Midfield
carlos-gruezo,right,171,Midfielder - Defensive Midfield
carlos-gruezo,right,171,Midfielder - Defensive Midfield
carlos-gruezo,right,171,Midfielder - Defensive Midfield
daniel-baier,right,176,Midfielder - Defensive Midfield
daniel-baier,right,176,Midfielder - Defensive Midfield
daniel-baier,right,176,Midfielder - Defensive Midfield
daniel-baier,right,176,Midfielder - Defensive Midfield
daniel-baier,right,176,Midfielder - Defensive Midfield
daniel-baier,right,176,Midfielder - Defensive Midfield
daniel-baier,right,176,Midfielder - Defensive Midfield
daniel-baier,right,176,Midfielder - Defensive Midfield
daniel-baier,right,176,Midfielder - Defensive Midfield
daniel-baier,right,176,Midfielder - Defensive Midfield
eduard-lowen,right,188,Midfielder - Central Midfield
eduard-lowen,right,188,Midfielder - Central Midfield
eduard-lowen,right,188,Midfielder - Central Midfield
eduard-lowen,right,188,Midfielder - Central Midfield
eduard-lowen,right,188,Midfielder - Central Midfield
eduard-lowen,right,188,Midfielder - Central Midfield
eduard-lowen,right,188,Midfielder - Central Midfield
eduard-lowen,right,188,Midfielder - Central Midfield
eduard-lowen,right,188,Midfielder - Central Midfield
fabian-giefer,right,196,Goalkeeper
fabian-giefer,right,196,Goalkeeper
fabian-giefer,right,196,Goalkeeper
fabian-giefer,right,196,Goalkeeper
fabian-giefer,right,196,Goalkeeper
fabian-giefer,right,196,Goalkeeper
fabian-giefer,right,196,Goalkeeper
fabian-giefer,right,196,Goalkeeper
fabian-giefer,right,196,Goalkeeper
fabian-giefer,right,196,Goalkeeper
fabian-giefer,right,196,Goalkeeper
fabian-giefer,right,196,Goalkeeper
felix-gotze,right,185,Midfielder - Defensive Midfield
felix-gotze,right,185,Midfielder - Defensive Midfield
felix-gotze,right,185,Midfielder - Defensive Midfield
felix-gotze,right,185,Midfielder - Defensive Midfield
felix-gotze,right,185,Midfielder - Defensive Midfield
felix-uduokhai,left,192,Defender - Centre-Back
felix-uduokhai,left,192,Defender - Centre-Back
felix-uduokhai,left,192,Defender - Centre-Back
felix-uduokhai,left,192,Defender - Centre-Back
felix-uduokhai,left,192,Defender - Centre-Back
felix-uduokhai,left,192,Defender - Centre-Back
felix-uduokhai,left,192,Defender - Centre-Back
felix-uduokhai,left,192,Defender - Centre-Back
florian-niederlechner,left,187,Forward - Centre-Forward
florian-niederlechner,left,187,Forward - Centre-Forward
florian-niederlechner,left,187,Forward - Centre-Forward
florian-niederlechner,left,187,Forward - Centre-Forward
florian-niederlechner,left,187,Forward - Centre-Forward
florian-niederlechner,left,187,Forward - Centre-Forward
florian-niederlechner,left,187,Forward - Centre-Forward
florian-niederlechner,left,187,Forward - Centre-Forward
florian-niederlechner,left,187,Forward - Centre-Forward
florian-niederlechner,left,187,Forward - Centre-Forward
florian-niederlechner,left,187,Forward - Centre-Forward
florian-niederlechner,left,187,Forward - Centre-Forward
florian-niederlechner,left,187,Forward - Centre-Forward
fredrik-jensen,right,183,Midfielder - Attacking Midfield
fredrik-jensen,right,183,Midfielder - Attacking Midfield
fredrik-jensen,right,183,Midfielder - Attacking Midfield
georg-teigl,right,183,Midfielder - Right Midfield
georg-teigl,right,183,Midfielder - Right Midfield
georg-teigl,right,183,Midfielder - Right Midfield
georg-teigl,right,183,Midfielder - Right Midfield
georg-teigl,right,183,Midfielder - Right Midfield
georg-teigl,right,183,Midfielder - Right Midfield
georg-teigl,right,183,Midfielder - Right Midfield
georg-teigl,right,183,Midfielder - Right Midfield
georg-teigl,right,183,Midfielder - Right Midfield
georg-teigl,right,183,Midfielder - Right Midfield
georg-teigl,right,183,Midfielder - Right Midfield
federico-valverde,right,182,Midfielder - Central Midfield
federico-valverde,right,182,Midfielder - Central Midfield
federico-valverde,right,182,Midfielder - Central Midfield
federico-valverde,right,182,Midfielder - Central Midfield
federico-valverde,right,182,Midfielder - Central Midfield
jan-moravek,right,180,Midfielder - Central Midfield
jan-moravek,right,180,Midfielder - Central Midfield
jan-moravek,right,180,Midfielder - Central Midfield
jan-moravek,right,180,Midfielder - Central Midfield
jan-moravek,right,180,Midfielder - Central Midfield
jan-moravek,right,180,Midfielder - Central Midfield
jan-moravek,right,180,Midfielder - Central Midfield
jan-moravek,right,180,Midfielder - Central Midfield
jeffrey-gouweleeuw,right,187,Defender - Centre-Back
jeffrey-gouweleeuw,right,187,Defender - Centre-Back
jeffrey-gouweleeuw,right,187,Defender - Centre-Back
jeffrey-gouweleeuw,right,187,Defender - Centre-Back
jeffrey-gouweleeuw,right,187,Defender - Centre-Back
jeffrey-gouweleeuw,right,187,Defender - Centre-Back
julian-schieber,left,186,Forward - Centre-Forward
julian-schieber,left,186,Forward - Centre-Forward
julian-schieber,left,186,Forward - Centre-Forward
julian-schieber,left,186,Forward - Centre-Forward
julian-schieber,left,186,Forward - Centre-Forward
julian-schieber,left,186,Forward - Centre-Forward
julian-schieber,left,186,Forward - Centre-Forward
julian-schieber,left,186,Forward - Centre-Forward
julian-schieber,left,186,Forward - Centre-Forward
julian-schieber,left,186,Forward - Centre-Forward
kilian-jakob,left,183,Defender - Left-Back
kilian-jakob,left,183,Defender - Left-Back
kilian-jakob,left,183,Defender - Left-Back
kilian-jakob,left,183,Defender - Left-Back
kilian-jakob,left,183,Defender - Left-Back
kilian-jakob,left,183,Defender - Left-Back
kilian-jakob,left,183,Defender - Left-Back
marco-richter,right,176,Forward - Right Winger
marco-richter,right,176,Forward - Right Winger
marco-richter,right,176,Forward - Right Winger
marco-richter,right,176,Forward - Right Winger
marco-richter,right,176,Forward - Right Winger
marco-richter,right,176,Forward - Right Winger
marek-suchy,right,183,Defender - Centre-Back
marek-suchy,right,183,Defender - Centre-Back
marek-suchy,right,183,Defender - Centre-Back
marek-suchy,right,183,Defender - Centre-Back
marek-suchy,right,183,Defender - Centre-Back
marek-suchy,right,183,Defender - Centre-Back
marek-suchy,right,183,Defender - Centre-Back
marek-suchy,right,183,Defender - Centre-Back
marek-suchy,right,183,Defender - Centre-Back
noah-sarenren-bazee,right,183,Forward - Right Winger
noah-sarenren-bazee,right,183,Forward - Right Winger
noah-sarenren-bazee,right,183,Forward - Right Winger
noah-sarenren-bazee,right,183,Forward - Right Winger
noah-sarenren-bazee,right,183,Forward - Right Winger
philipp-max,left,177,Defender - Left-Back
philipp-max,left,177,Defender - Left-Back
philipp-max,left,177,Defender - Left-Back
philipp-max,left,177,Defender - Left-Back
philipp-max,left,177,Defender - Left-Back
philipp-max,left,177,Defender - Left-Back
philipp-max,left,177,Defender - Left-Back
philipp-max,left,177,Defender - Left-Back
rani-khedira,right,188,Midfielder - Defensive Midfield
rani-khedira,right,188,Midfielder - Defensive Midfield
rani-khedira,right,188,Midfielder - Defensive Midfield
rani-khedira,right,188,Midfielder - Defensive Midfield
rani-khedira,right,188,Midfielder - Defensive Midfield
rani-khedira,right,188,Midfielder - Defensive Midfield
rani-khedira,right,188,Midfielder - Defensive Midfield
raphael-framberger,right,179,Defender - Right-Back
raphael-framberger,right,179,Defender - Right-Back
raphael-framberger,right,179,Defender - Right-Back
raphael-framberger,right,179,Defender - Right-Back
reece-oxford,right,190,Midfielder - Defensive Midfield
reece-oxford,right,190,Midfielder - Defensive Midfield
reece-oxford,right,190,Midfielder - Defensive Midfield
reece-oxford,right,190,Midfielder - Defensive Midfield
reece-oxford,right,190,Midfielder - Defensive Midfield
reece-oxford,right,190,Midfielder - Defensive Midfield
reece-oxford,right,190,Midfielder - Defensive Midfield
reece-oxford,right,190,Midfielder - Defensive Midfield
reece-oxford,right,190,Midfielder - Defensive Midfield
reece-oxford,right,190,Midfielder - Defensive Midfield
reece-oxford,right,190,Midfielder - Defensive Midfield
reece-oxford,right,190,Midfielder - Defensive Midfield
ruben-vargas,right,174,Forward - Left Winger
ruben-vargas,right,174,Forward - Left Winger
ruben-vargas,right,174,Forward - Left Winger
ruben-vargas,right,174,Forward - Left Winger
sergio-cordova,right,188,Forward - Centre-Forward
sergio-cordova,right,188,Forward - Centre-Forward
sergio-cordova,right,188,Forward - Centre-Forward
sergio-cordova,right,188,Forward - Centre-Forward
sergio-cordova,right,188,Forward - Centre-Forward
sergio-cordova,right,188,Forward - Centre-Forward
simon-asta,right,178,Defender - Right-Back
simon-asta,right,178,Defender - Right-Back
simon-asta,right,178,Defender - Right-Back
stephan-lichtsteiner,right,182,Defender - Right-Back
stephan-lichtsteiner,right,182,Defender - Right-Back
stephan-lichtsteiner,right,182,Defender - Right-Back
stephan-lichtsteiner,right,182,Defender - Right-Back
stephan-lichtsteiner,right,182,Defender - Right-Back
stephan-lichtsteiner,right,182,Defender - Right-Back
stephan-lichtsteiner,right,182,Defender - Right-Back
stephan-lichtsteiner,right,182,Defender - Right-Back
tin-jedvaj,right,188,Defender - Centre-Back
tin-jedvaj,right,188,Defender - Centre-Back
tin-jedvaj,right,188,Defender - Centre-Back
tin-jedvaj,right,188,Defender - Centre-Back
tin-jedvaj,right,188,Defender - Centre-Back
tin-jedvaj,right,188,Defender - Centre-Back
tin-jedvaj,right,188,Defender - Centre-Back
tin-jedvaj,right,188,Defender - Centre-Back
tin-jedvaj,right,188,Defender - Centre-Back
tomas-koubek,right,197,Goalkeeper
tomas-koubek,right,197,Goalkeeper
tomas-koubek,right,197,Goalkeeper
tomas-koubek,right,197,Goalkeeper
tomas-koubek,right,197,Goalkeeper
tomas-koubek,right,197,Goalkeeper
abdul-fesenmeyer,both,187,Forward - Centre-Forward
abdul-fesenmeyer,both,187,Forward - Centre-Forward
abdul-fesenmeyer,both,187,Forward - Centre-Forward
abdul-fesenmeyer,both,187,Forward - Centre-Forward
achunike-ekene,right,187,Defender - Right-Back
achunike-ekene,right,187,Defender - Right-Back
adrian-stanilewicz,left,181,Midfielder - Defensive Midfield
adrian-stanilewicz,left,181,Midfielder - Defensive Midfield
adrian-stanilewicz,left,181,Midfielder - Defensive Midfield
adrian-stanilewicz,left,181,Midfielder - Defensive Midfield
aleksandar-dragovic,right,186,Defender - Centre-Back
aleksandar-dragovic,right,186,Defender - Centre-Back
aleksandar-dragovic,right,186,Defender - Centre-Back
aleksandar-dragovic,right,186,Defender - Centre-Back
aleksandar-dragovic,right,186,Defender - Centre-Back
aleksandar-dragovic,right,186,Defender - Centre-Back
aleksandar-dragovic,right,186,Defender - Centre-Back
aleksandar-dragovic,right,186,Defender - Centre-Back
aleksandar-dragovic,right,186,Defender - Centre-Back
ayman-azhil,right,170,Midfielder - Defensive Midfield
ayman-azhil,right,170,Midfielder - Defensive Midfield
ayman-azhil,right,170,Midfielder - Defensive Midfield
ayman-azhil,right,170,Midfielder - Defensive Midfield
ayman-azhil,right,170,Midfielder - Defensive Midfield
ayoub-asrihi,left,176,Forward - Left Winger
ayoub-asrihi,left,176,Forward - Left Winger
ayoub-asrihi,left,176,Forward - Left Winger
ayoub-asrihi,left,176,Forward - Left Winger
ayoub-asrihi,left,176,Forward - Left Winger
ayoub-asrihi,left,176,Forward - Left Winger
cem-turkmen,both,176,Midfielder
charles-aranguiz,right,171,Midfielder - Central Midfield
charles-aranguiz,right,171,Midfielder - Central Midfield
charles-aranguiz,right,171,Midfielder - Central Midfield
charles-aranguiz,right,171,Midfielder - Central Midfield
charles-aranguiz,right,171,Midfielder - Central Midfield
charles-aranguiz,right,171,Midfielder - Central Midfield
charles-aranguiz,right,171,Midfielder - Central Midfield
charles-aranguiz,right,171,Midfielder - Central Midfield
charles-aranguiz,right,171,Midfielder - Central Midfield
charles-aranguiz,right,171,Midfielder - Central Midfield
charles-aranguiz,right,171,Midfielder - Central Midfield
christopher-scott,right,185,Defender - Centre-Back
christopher-scott,right,185,Defender - Centre-Back
christopher-scott,right,185,Defender - Centre-Back
christopher-scott,right,185,Defender - Centre-Back
daley-sinkgraven,left,179,Defender - Left-Back
daley-sinkgraven,left,179,Defender - Left-Back
daley-sinkgraven,left,179,Defender - Left-Back
daley-sinkgraven,left,179,Defender - Left-Back
daley-sinkgraven,left,179,Defender - Left-Back
daley-sinkgraven,left,179,Defender - Left-Back
edmond-tapsoba,right,192,Defender - Centre-Back
