age,season,transfer_no,apearance,goal,assist,yellow,yellow2,red,foot,height,position,mv
27,16,8,14,3,1,1,0,1,right,184,Forward - Centre-Forward,3900146.484
26,15,7,27,9,4,4,0,0,right,184,Forward - Centre-Forward,3600000
25,14,6,31,4,1,4,0,0,right,184,Forward - Centre-Forward,8100000
23,12,5,58,43,14,7,0,0,right,184,Forward - Centre-Forward,540000
22,11,4,10,3,1,0,0,0,right,184,Forward - Centre-Forward,270000
28,18,8,32,5,5,8,0,0,right,185,Forward - Right Winger,1350000
27,17,7,24,3,0,1,0,0,right,185,Forward - Right Winger,4050000
24,14,6,32,6,6,4,0,0,right,185,Forward - Right Winger,4500000
23,13,5,35,12,11,10,0,0,right,185,Forward - Right Winger,270000
21,11,4,33,4,4,5,0,0,right,185,Forward - Right Winger,146250
20,10,3,32,10,3,7,2,0,right,185,Forward - Right Winger,68000
19,9,2,24,1,1,7,0,0,right,185,Forward - Right Winger,68000
18,8,1,21,3,0,0,0,1,right,185,Forward - Right Winger,68000
24,19,6,21,1,1,5,0,0,right,171,Midfielder - Defensive Midfield,1800000
21,16,5,38,1,3,11,0,0,right,171,Midfielder - Defensive Midfield,1800000
19,14,4,8,1,0,1,0,0,right,171,Midfielder - Defensive Midfield,900000
17,12,3,40,1,1,13,1,0,right,171,Midfielder - Defensive Midfield,900000
26,10,9,19,1,1,2,0,1,right,176,Midfielder - Defensive Midfield,675000
25,9,8,15,0,3,1,1,0,right,176,Midfielder - Defensive Midfield,900000
24,8,7,25,2,3,2,0,0,right,176,Midfielder - Defensive Midfield,1170000
23,7,6,16,0,0,2,0,0,right,176,Midfielder - Defensive Midfield,675000
19,3,5,22,3,0,3,0,0,right,176,Midfielder - Defensive Midfield,675000
23,20,8,2,0,0,0,0,0,right,188,Midfielder - Central Midfield,5962500
22,19,7,24,2,1,0,0,0,right,188,Midfielder - Central Midfield,6300000
20,17,6,35,5,5,6,0,0,right,188,Midfielder - Central Midfield,315000
19,16,5,25,0,2,6,0,1,right,188,Midfielder - Central Midfield,315000
18,15,4,24,3,4,6,0,0,right,188,Midfielder - Central Midfield,315000
17,14,3,12,0,0,1,0,0,right,188,Midfielder - Central Midfield,315000
